,index,경기번호,팀명,결과,No.,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,서브_시도,서브_성공,서브_범실,서브_성공률,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,세트_시도,세트_성공,세트_범실,세트_세트당,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_어시스트,벌칙_벌칙,범실_범실,홈_어웨이,상대팀,팀코드,디그_성공률,세트_성공률,리시브_정확도,블로킹_성공률,총_점수,실점
611,611,306,현대건설,0,156,79,171,67,7,14,0.39,91,36,4,5,0.4,5,2,1,1,0.4,0,0,0,0,,19,6,0,4,0.32,13,5,1,0,0.38,43,18,1,4,0.42,96,4,11,0.04,118,104,14,0,22.8,184,65,1,15.600000000000001,99,31,9,84.68,71,8,31,21,2,1.6,6,0,28,0,한국도로공사,5,0.88,0.35,0.31,0.11,96,105
612,612,307,GS칼텍스,0,138,72,153,63,7,9,0.41,83,33,3,4,0.4,6,3,0,0,0.5,0,0,0,0,,26,10,0,3,0.38,6,2,1,2,0.33,32,15,3,0,0.47,94,5,10,0.05,110,90,20,0,23.91,161,60,2,17.58,91,37,8,231.39,59,4,24,21,0,1.75,3,0,21,0,IBK기업은행,0,0.82,0.37,0.41,0.07,93,101
613,613,307,IBK기업은행,1,111,80,160,65,4,11,0.41,87,31,1,5,0.36,9,7,0,0,0.78,5,3,0,0,0.6,40,13,2,5,0.32,5,3,0,0,0.6,14,8,1,1,0.57,100,8,9,0.08,114,88,26,0,22.0,154,63,0,15.75,84,30,5,127.85,51,7,17,16,1,1.75,6,0,21,1,GS칼텍스,3,0.77,0.41,0.36,0.14,101,93
614,614,308,KGC인삼공사,1,106,70,121,63,5,4,0.52,53,30,3,2,0.57,0,0,0,0,,2,0,0,0,0.0,31,14,2,2,0.45,3,0,0,0,0.0,32,19,0,0,0.59,96,3,4,0.03,92,71,19,2,18.75,127,59,1,16.25,73,29,6,153.11,68,4,30,22,0,1.0,3,0,11,1,현대건설,4,0.77,0.46,0.4,0.06,96,85
615,615,308,현대건설,0,115,74,141,63,4,7,0.45,76,35,2,2,0.46,10,4,0,1,0.4,2,1,0,0,0.5,11,3,0,4,0.27,19,11,0,0,0.58,23,9,2,0,0.39,86,6,13,0.07,82,62,20,0,15.75,138,55,2,13.75,91,28,3,143.6,56,5,17,22,4,1.25,5,0,26,0,KGC인삼공사,5,0.76,0.4,0.31,0.09,85,96
616,616,309,한국도로공사,1,114,56,106,47,3,5,0.44,71,30,2,2,0.42,5,3,0,1,0.6,2,1,0,0,0.5,13,6,1,1,0.46,5,3,0,1,0.6,10,4,0,0,0.4,76,3,11,0.04,73,55,18,0,18.34,107,43,1,14.33,62,27,5,134.92000000000002,42,6,14,11,3,2.0,5,0,20,0,흥국생명,2,0.75,0.4,0.44,0.14,78,70
617,617,309,흥국생명,0,126,50,111,42,6,12,0.38,59,24,4,8,0.41,4,3,0,0,0.75,7,2,0,0,0.29,8,0,0,2,0.0,10,2,0,0,0.2,23,11,2,2,0.48,72,5,10,0.07,73,57,16,0,20.34,115,40,0,13.67,65,25,3,169.44,39,3,18,11,0,0.99,2,0,22,1,한국도로공사,1,0.78,0.35,0.38,0.08,70,78
618,618,310,GS칼텍스,1,122,76,158,57,12,12,0.36,76,24,7,5,0.32,5,2,1,1,0.4,1,0,0,0,0.0,19,6,2,2,0.32,5,5,0,0,1.0,52,20,2,4,0.38,92,6,7,0.07,100,81,19,0,20.66,153,54,2,14.75,87,51,2,338.02,64,13,21,19,0,3.33,10,0,21,1,KGC인삼공사,0,0.81,0.35,0.59,0.2,93,92
619,619,310,KGC인삼공사,0,89,71,143,57,13,8,0.4,71,24,7,3,0.34,6,5,0,0,0.83,6,4,0,0,0.67,31,11,2,5,0.35,9,6,2,0,0.67,20,7,2,0,0.35,93,2,6,0.02,94,79,13,2,19.75,148,54,1,13.5,85,37,6,140.15,82,12,31,22,0,3.0,10,0,17,0,GS칼텍스,4,0.84,0.36,0.44,0.15,92,93
620,620,311,IBK기업은행,0,112,50,109,43,10,5,0.39,66,26,7,0,0.39,5,4,1,0,0.8,0,0,0,0,,19,9,1,2,0.47,8,3,1,1,0.38,11,1,0,2,0.09,62,3,8,0.05,74,58,15,1,19.5,113,43,0,14.49,69,27,7,210.07,34,4,18,11,0,1.33,4,0,14,0,흥국생명,3,0.78,0.38,0.39,0.12,60,75
