,index,경기번호,팀명,결과,No.,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,서브_시도,서브_성공,서브_범실,서브_성공률,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,세트_시도,세트_성공,세트_범실,세트_세트당,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_어시스트,벌칙_벌칙,범실_범실,홈_어웨이,상대팀,팀코드,디그_성공률,세트_성공률,리시브_정확도,블로킹_성공률,총_점수,실점
186,186,94,IBK기업은행,0,104,84,185,73,8,15,0.39,111,43,3,12,0.39,6,1,0,0,0.17,3,1,0,0,0.33,36,15,4,1,0.42,6,3,1,1,0.5,23,10,0,1,0.43,108,4,7,0.04,117,100,17,0,22.6,191,69,1,16.75,102,45,4,218.27,91,7,40,28,5,1.4500000000000002,6,0,28,0,한국도로공사,3,0.85,0.36,0.44,0.08,108,113
187,187,94,한국도로공사,1,123,85,178,73,7,10,0.41,99,44,6,4,0.44,12,4,0,1,0.33,7,2,0,0,0.29,14,5,1,1,0.36,14,7,0,0,0.5,32,11,0,4,0.34,113,4,11,0.04,109,93,16,0,18.95,177,67,1,13.5,101,40,4,89.88,83,8,21,31,2,1.5999999999999999,7,0,24,1,IBK기업은행,2,0.85,0.38,0.4,0.1,113,108
188,188,95,IBK기업은행,0,104,69,140,59,9,10,0.42,72,28,5,5,0.39,8,6,0,1,0.75,9,5,1,0,0.56,25,8,1,1,0.32,6,3,0,1,0.5,20,9,2,2,0.45,83,2,5,0.02,91,71,20,0,18.58,148,57,2,18.33,86,39,5,135.8,70,8,25,19,2,2.0,8,0,19,0,한국도로공사,3,0.78,0.39,0.45,0.11,82,95
189,189,95,한국도로공사,1,119,76,149,62,8,4,0.42,74,29,4,3,0.39,9,3,1,0,0.33,12,6,0,0,0.5,14,4,1,1,0.29,9,3,1,0,0.33,31,17,1,0,0.55,94,5,8,0.05,103,82,21,0,20.5,150,58,1,14.58,78,47,2,270.90999999999997,63,9,26,22,0,2.25,7,0,13,1,IBK기업은행,2,0.8,0.39,0.6,0.14,95,82
190,190,96,IBK기업은행,0,105,61,149,52,9,12,0.35,94,32,6,6,0.34,6,2,0,0,0.33,4,1,1,0,0.25,24,7,2,5,0.29,9,5,0,0,0.56,12,5,0,1,0.42,78,3,3,0.04,93,75,18,0,18.75,150,50,1,13.25,88,31,7,125.84,67,6,25,21,1,1.5,4,0,17,1,한국도로공사,3,0.81,0.33,0.35,0.09,77,96
191,191,96,한국도로공사,1,123,79,139,63,6,5,0.45,70,24,3,1,0.34,8,4,0,0,0.5,8,5,0,1,0.62,15,6,1,3,0.4,15,8,2,0,0.53,23,16,0,0,0.7,96,7,7,0.07,102,85,15,2,22.83,141,59,2,14.83,75,33,3,125.0,70,9,24,25,0,3.0,8,0,16,0,IBK기업은행,2,0.83,0.42,0.44,0.13,96,77
192,192,97,IBK기업은행,1,132,90,175,83,7,7,0.47,82,34,3,4,0.41,7,4,1,0,0.57,4,2,1,0,0.5,22,7,1,0,0.32,8,4,0,1,0.5,52,32,1,2,0.62,111,1,9,0.01,114,95,19,0,22.15,177,78,3,19.15,97,42,6,151.05,84,6,32,25,5,1.2,3,0,24,0,한국도로공사,3,0.83,0.44,0.43,0.07,110,107
193,193,97,한국도로공사,0,141,83,178,70,6,10,0.39,65,16,1,6,0.25,14,10,0,0,0.71,6,3,0,0,0.5,29,15,0,2,0.52,10,3,1,0,0.3,54,23,4,2,0.43,107,6,9,0.06,118,95,23,0,19.05,182,69,1,14.6,102,57,1,366.24,69,7,25,28,0,1.53,3,0,20,1,IBK기업은행,2,0.81,0.38,0.56,0.1,107,110
194,194,98,GS칼텍스,1,115,77,128,57,8,4,0.45,64,29,4,2,0.45,6,3,0,0,0.5,0,0,0,0,,10,3,1,1,0.3,18,8,1,0,0.44,30,14,2,1,0.47,94,8,13,0.09,85,72,13,0,18.75,132,53,1,13.25,71,27,2,146.54,53,12,16,17,0,3.0,9,0,18,1,현대건설,0,0.85,0.4,0.38,0.23,94,77
195,195,98,현대건설,0,122,59,119,49,12,6,0.41,67,25,7,4,0.37,4,1,0,0,0.25,1,0,0,0,0.0,6,2,2,1,0.33,15,8,0,1,0.53,26,13,3,0,0.5,78,2,6,0.03,81,66,14,1,18.0,130,45,3,11.5,81,27,8,92.97,71,8,28,21,1,2.25,7,0,17,0,GS칼텍스,5,0.81,0.35,0.33,0.11,77,94
196,196,99,KGC인삼공사,0,92,66,161,51,11,10,0.32,82,28,3,6,0.34,8,3,0,1,0.38,1,0,0,0,0.0,31,8,6,1,0.26,5,2,1,0,0.4,34,10,1,2,0.29,86,4,5,0.05,128,96,32,0,26.0,171,48,3,14.0,90,49,2,364.02,63,11,26,18,0,3.0,9,0,18,0,흥국생명,4,0.75,0.28,0.54,0.17,85,98
197,197,99,흥국생명,1,119,80,173,67,11,10,0.39,80,26,10,5,0.32,10,5,1,0,0.5,2,1,0,0,0.5,23,9,0,1,0.39,18,7,0,1,0.39,40,19,0,3,0.48,98,2,7,0.02,117,103,14,0,25.83,169,64,1,16.75,81,42,4,317.53,69,11,30,17,1,2.75,9,0,19,1,KGC인삼공사,1,0.88,0.38,0.52,0.16,98,85
198,198,100,IBK기업은행,1,104,59,87,43,3,3,0.49,40,17,1,2,0.42,11,6,0,0,0.55,2,1,0,1,0.5,5,1,0,0,0.2,6,2,0,0,0.33,23,16,2,0,0.7,73,6,6,0.08,58,50,8,0,16.68,91,41,1,13.83,47,18,3,132.55,34,10,11,10,0,3.3400000000000003,9,0,10,1,현대건설,3,0.86,0.45,0.38,0.29,75,50
199,199,100,현대건설,0,95,40,87,34,10,7,0.39,42,17,4,4,0.4,4,2,1,0,0.5,2,0,1,0,0.0,10,2,1,2,0.2,11,7,1,0,0.64,18,6,2,1,0.33,52,3,5,0.06,49,41,8,0,14.16,97,33,2,10.99,67,16,6,79.89,33,3,11,14,2,1.0,3,0,16,0,IBK기업은행,5,0.84,0.34,0.24,0.09,50,75
200,200,101,GS칼텍스,1,112,65,117,50,5,11,0.43,59,22,5,6,0.37,5,1,0,0,0.2,2,2,0,0,1.0,19,9,0,4,0.47,8,4,0,0,0.5,24,12,0,1,0.5,78,6,4,0.08,84,70,14,0,23.67,124,46,1,15.34,65,35,5,174.37,54,9,21,13,0,3.0,7,0,16,1,흥국생명,0,0.83,0.37,0.54,0.17,79,70
201,201,101,흥국생명,0,137,54,129,44,9,7,0.34,76,24,4,5,0.32,3,1,1,0,0.33,1,0,0,0,0.0,18,7,1,1,0.39,8,4,0,0,0.5,23,8,3,1,0.35,71,5,6,0.07,82,68,14,0,23.5,126,40,0,16.67,74,24,6,85.13,53,5,24,16,1,1.83,5,0,14,0,GS칼텍스,1,0.83,0.32,0.32,0.09,70,79
202,202,102,KGC인삼공사,1,110,71,137,53,7,9,0.39,73,24,3,5,0.33,12,7,1,0,0.58,0,0,0,0,,18,6,2,1,0.33,13,8,0,0,0.62,21,8,1,3,0.38,96,5,6,0.05,93,79,13,1,19.75,141,51,1,12.75,69,32,1,158.97,72,13,25,20,2,4.0,9,0,19,1,한국도로공사,4,0.85,0.36,0.46,0.18,97,78
203,203,102,한국도로공사,0,126,59,154,51,13,14,0.33,64,17,7,3,0.27,12,6,0,4,0.5,3,1,0,0,0.33,34,11,2,5,0.32,10,1,1,1,0.1,31,15,3,1,0.48,79,1,10,0.01,91,82,9,0,20.92,156,47,1,15.25,90,42,5,177.14,61,7,29,20,1,1.75,7,0,26,0,KGC인삼공사,2,0.9,0.3,0.47,0.11,78,97
204,204,103,현대건설,0,89,47,118,36,7,9,0.31,71,19,5,5,0.27,8,3,0,0,0.38,0,0,0,0,,12,3,1,1,0.25,9,4,0,0,0.44,18,7,1,3,0.39,69,4,10,0.06,81,74,7,0,24.66,128,34,1,11.33,66,27,4,193.82,52,7,21,17,1,2.33,7,0,21,0,흥국생명,5,0.91,0.27,0.41,0.13,68,75
205,205,103,흥국생명,1,137,54,124,43,7,12,0.35,61,19,4,5,0.31,4,1,0,1,0.25,5,1,0,1,0.2,15,6,0,1,0.4,11,2,2,1,0.18,28,14,1,3,0.5,74,4,8,0.05,87,74,12,1,28.17,120,39,0,17.66,59,31,4,157.43,53,7,27,10,0,2.34,5,0,21,1,현대건설,1,0.85,0.32,0.53,0.13,75,68
206,206,104,GS칼텍스,1,108,54,85,37,3,4,0.44,39,20,1,1,0.51,1,1,0,0,1.0,0,0,0,0,,11,2,0,1,0.18,13,3,0,0,0.23,21,11,2,2,0.52,74,8,6,0.11,64,57,7,0,21.66,92,34,2,13.33,46,14,6,59.44,55,9,20,12,0,3.0100000000000002,6,0,12,1,한국도로공사,0,0.89,0.37,0.3,0.16,74,53
207,207,104,한국도로공사,0,129,41,116,32,9,12,0.28,47,12,3,8,0.26,2,2,0,0,1.0,3,0,2,0,0.0,20,5,1,2,0.25,10,7,0,1,0.7,34,6,3,1,0.18,54,6,8,0.11,73,63,10,0,22.67,118,31,0,12.67,67,31,8,120.99000000000001,30,3,11,12,0,1.1600000000000001,3,0,20,0,GS칼텍스,2,0.86,0.26,0.46,0.1,53,74
208,208,105,GS칼텍스,0,140,55,137,49,12,7,0.36,75,23,8,3,0.31,2,1,0,0,0.5,1,0,0,0,0.0,18,8,1,1,0.44,11,3,2,1,0.27,30,14,1,2,0.47,72,1,6,0.01,81,65,16,0,18.17,145,49,4,12.75,91,35,7,118.34,72,5,23,28,0,1.33,3,0,17,0,KGC인삼공사,0,0.8,0.34,0.38,0.07,70,97
209,209,105,KGC인삼공사,1,111,80,135,61,5,8,0.45,60,28,2,4,0.47,10,2,1,0,0.2,0,0,0,0,,21,9,1,3,0.43,13,7,0,0,0.54,31,15,1,1,0.48,97,7,5,0.07,92,81,11,0,21.990000000000002,137,61,1,15.42,65,33,1,239.1,77,12,27,28,1,3.25,10,0,15,1,GS칼텍스,4,0.88,0.45,0.51,0.16,97,70
210,210,106,한국도로공사,1,122,91,209,75,11,14,0.36,112,34,4,8,0.3,7,2,0,0,0.29,12,6,2,1,0.5,16,1,1,4,0.06,14,6,0,1,0.43,48,26,4,0,0.54,114,4,6,0.04,146,127,19,0,26.4,213,69,0,14.25,108,47,6,209.49,98,12,34,28,1,2.4,8,0,21,1,현대건설,2,0.87,0.32,0.44,0.12,115,112
211,211,106,현대건설,0,106,91,218,74,12,12,0.34,157,55,11,9,0.35,4,0,0,0,0.0,0,0,0,0,,17,4,1,0,0.24,13,7,0,1,0.54,27,8,0,2,0.3,114,6,5,0.05,140,124,16,0,24.8,219,69,2,13.799999999999999,108,40,4,142.75,99,11,41,24,5,2.2,8,0,24,0,한국도로공사,5,0.89,0.32,0.37,0.11,112,115
212,212,107,IBK기업은행,1,114,64,128,51,8,9,0.4,62,25,5,6,0.4,6,3,0,0,0.5,5,3,0,0,0.6,23,8,1,3,0.35,5,3,0,0,0.6,27,9,2,0,0.33,80,5,11,0.06,84,69,15,0,23.5,128,50,0,17.65,65,32,4,162.1,56,8,23,11,2,2.67,6,0,22,0,흥국생명,3,0.82,0.39,0.49,0.14,82,67
213,213,107,흥국생명,0,152,45,120,33,8,14,0.28,67,14,3,9,0.21,1,0,0,0,0.0,3,0,1,0,0.0,17,5,1,2,0.29,10,6,1,0,0.6,22,8,2,3,0.36,69,4,4,0.06,82,65,17,0,23.33,120,32,0,12.01,69,31,5,245.45,58,8,24,16,0,2.67,7,0,18,1,IBK기업은행,1,0.79,0.27,0.45,0.14,67,82
214,214,108,KGC인삼공사,1,106,67,146,52,6,6,0.36,77,28,3,2,0.36,7,3,0,0,0.43,5,4,0,1,0.8,11,3,0,0,0.27,11,2,0,0,0.18,35,12,3,3,0.34,94,7,8,0.07,110,94,16,0,27.0,155,50,1,13.25,75,33,4,301.05,75,8,32,19,2,2.0,7,0,17,0,현대건설,4,0.85,0.32,0.44,0.11,95,83
215,215,108,현대건설,0,109,66,161,56,8,14,0.35,96,30,7,8,0.31,8,4,0,0,0.5,3,0,0,0,0.0,7,3,0,1,0.43,17,9,0,3,0.53,30,10,1,2,0.33,84,4,9,0.05,106,94,11,1,24.92,164,51,2,12.75,86,37,7,262.71000000000004,69,6,23,23,2,1.5,6,0,28,1,KGC인삼공사,5,0.89,0.31,0.43,0.09,83,95
216,216,109,GS칼텍스,1,120,83,191,72,12,9,0.38,109,43,5,4,0.39,6,1,0,1,0.17,5,1,1,0,0.2,13,6,2,2,0.46,12,4,1,0,0.33,46,17,3,2,0.37,110,6,7,0.05,132,118,13,1,25.22,196,66,2,13.2,94,44,4,255.13,98,5,43,29,1,1.1800000000000002,5,0,20,1,IBK기업은행,0,0.89,0.34,0.47,0.05,111,100
217,217,109,IBK기업은행,0,100,80,203,64,5,20,0.32,124,40,4,11,0.32,7,4,0,0,0.57,10,3,0,2,0.3,30,7,1,4,0.23,6,2,0,0,0.33,26,8,0,3,0.31,102,4,7,0.04,130,112,18,0,26.630000000000003,198,59,1,14.4,103,47,6,203.52,117,12,50,35,0,3.2,7,0,28,0,GS칼텍스,3,0.86,0.3,0.46,0.1,100,111
218,218,110,한국도로공사,1,143,88,176,75,4,16,0.43,65,26,0,8,0.4,7,5,0,1,0.71,8,5,0,0,0.62,16,6,2,1,0.38,14,8,0,1,0.57,66,25,2,5,0.38,108,6,9,0.06,110,97,12,1,19.5,181,68,2,14.000000000000002,96,59,2,247.08,78,7,32,29,0,1.4,5,0,28,1,흥국생명,2,0.88,0.38,0.61,0.09,107,105
219,219,110,흥국생명,0,155,77,173,71,7,8,0.41,89,35,3,4,0.39,16,8,0,0,0.5,0,0,0,0,,25,13,1,4,0.52,14,2,1,0,0.14,29,13,2,0,0.45,104,2,8,0.02,116,93,22,1,21.2,176,70,2,18.93,99,46,6,160.76,75,4,37,21,0,0.8500000000000001,0,0,19,0,한국도로공사,1,0.8,0.4,0.46,0.05,105,107
220,220,111,IBK기업은행,0,114,44,102,42,7,6,0.41,50,20,3,1,0.4,4,2,0,1,0.5,6,1,2,0,0.17,11,6,1,1,0.55,6,1,0,1,0.17,25,12,1,2,0.48,60,1,8,0.02,59,46,13,0,18.0,99,38,3,12.84,65,23,2,164.67,32,1,11,15,2,0.5,1,0,19,1,KGC인삼공사,3,0.78,0.38,0.35,0.03,58,74
221,221,111,KGC인삼공사,1,104,55,86,46,1,4,0.53,48,23,0,2,0.48,8,5,1,0,0.62,0,0,0,0,,13,10,0,1,0.77,7,4,0,0,0.57,10,4,0,1,0.4,73,2,7,0.03,52,42,10,0,14.16,89,45,2,15.32,52,22,1,134.67000000000002,56,7,19,19,1,2.33,4,0,14,0,IBK기업은행,4,0.81,0.51,0.42,0.12,74,58
222,222,112,GS칼텍스,1,143,58,84,45,5,0,0.54,43,22,3,0,0.51,0,0,0,0,,0,0,0,0,,8,6,1,0,0.75,14,9,1,0,0.64,19,8,0,0,0.42,74,7,8,0.09,60,44,16,0,16.67,84,41,0,13.66,43,17,1,156.15,30,6,12,5,0,1.99,4,0,8,0,KGC인삼공사,0,0.73,0.49,0.4,0.2,82,80
223,223,112,KGC인삼공사,0,91,72,169,59,8,13,0.35,93,27,4,8,0.29,7,3,0,1,0.43,1,0,0,0,0.0,14,2,3,2,0.14,8,3,0,1,0.38,46,24,1,1,0.52,103,2,5,0.02,119,99,19,1,20.4,175,55,4,12.799999999999999,99,40,5,151.17000000000002,90,11,26,30,1,2.2,7,0,24,1,GS칼텍스,4,0.83,0.31,0.4,0.12,80,82
224,224,113,한국도로공사,1,134,89,199,76,11,13,0.38,96,42,5,4,0.44,1,0,0,0,0.0,7,1,1,1,0.14,17,3,0,2,0.18,16,6,0,0,0.38,62,24,5,6,0.39,112,5,13,0.04,124,110,13,1,23.33,194,68,0,15.1,96,58,2,157.23,75,8,28,23,1,1.6,7,0,28,1,현대건설,2,0.89,0.35,0.6,0.11,105,70
225,225,113,현대건설,0,104,42,84,36,6,2,0.43,46,21,3,1,0.46,5,1,0,0,0.2,0,0,0,0,,6,3,0,0,0.5,10,3,2,1,0.3,17,8,1,0,0.47,51,1,8,0.02,51,42,9,0,14.84,91,35,4,11.83,65,27,7,150.32,38,5,12,16,2,1.6600000000000001,5,0,16,0,한국도로공사,5,0.82,0.38,0.42,0.13,70,105
226,226,114,한국도로공사,1,127,60,104,46,7,7,0.44,43,14,4,4,0.33,8,4,1,0,0.5,14,8,0,1,0.57,2,1,0,0,0.5,10,5,0,0,0.5,27,14,2,2,0.52,73,6,5,0.08,72,57,15,0,19.17,109,44,0,14.66,59,32,3,110.17,50,8,20,14,1,2.67,8,0,13,0,현대건설,2,0.79,0.4,0.54,0.16,74,64
227,227,114,현대건설,0,96,51,106,41,8,5,0.39,62,19,6,4,0.31,7,3,1,0,0.43,0,0,0,0,,4,2,1,0,0.5,11,7,0,0,0.64,22,10,0,1,0.45,66,3,7,0.05,77,58,19,0,21.490000000000002,116,41,2,13.66,67,28,6,248.85,39,7,16,12,0,2.33,5,0,14,1,한국도로공사,5,0.75,0.35,0.42,0.18,64,74
228,228,115,GS칼텍스,0,123,92,193,78,11,12,0.4,102,37,4,6,0.36,2,2,0,0,1.0,1,0,0,0,0.0,23,10,2,3,0.43,12,4,2,0,0.33,53,25,3,3,0.47,108,4,9,0.04,118,98,20,0,20.97,191,71,1,14.200000000000001,107,48,7,163.62,77,10,28,28,2,2.18,8,0,24,0,흥국생명,0,0.83,0.37,0.45,0.13,109,112
229,229,115,흥국생명,1,144,88,163,70,10,9,0.43,96,42,9,4,0.44,9,5,0,0,0.56,2,1,0,1,0.5,13,5,0,1,0.38,6,1,0,1,0.17,37,16,1,2,0.43,113,7,6,0.06,110,91,18,1,20.150000000000002,172,68,1,14.500000000000002,99,38,4,188.2,95,11,28,35,0,2.35,7,0,17,1,GS칼텍스,1,0.83,0.4,0.38,0.12,112,109
230,230,116,IBK기업은행,1,81,78,186,67,11,10,0.36,97,34,4,8,0.35,8,3,1,0,0.38,6,2,1,0,0.33,32,12,2,2,0.38,5,2,0,0,0.4,38,14,3,0,0.37,96,4,10,0.04,129,110,19,0,29.42,182,65,1,18.5,83,41,1,229.5,65,7,38,11,1,1.83,5,0,22,0,KGC인삼공사,3,0.85,0.36,0.49,0.11,97,85
231,231,116,KGC인삼공사,0,109,63,154,51,7,14,0.33,85,26,1,8,0.31,9,3,1,2,0.33,3,0,0,1,0.0,17,7,1,0,0.41,9,5,1,1,0.56,31,10,3,2,0.32,86,1,3,0.01,119,93,26,0,24.83,159,51,2,13.67,86,39,4,239.38,74,11,22,20,0,3.5,9,0,19,1,IBK기업은행,4,0.78,0.32,0.45,0.15,85,97
232,232,117,현대건설,0,109,53,133,45,14,9,0.34,70,19,6,7,0.27,12,7,1,0,0.58,4,1,1,0,0.25,9,3,2,0,0.33,10,2,2,1,0.2,28,13,2,1,0.46,62,2,5,0.03,91,72,19,0,24.83,135,41,3,13.66,68,32,2,242.48000000000002,38,6,18,6,1,2.0,6,0,18,1,흥국생명,5,0.79,0.3,0.47,0.16,61,74
233,233,117,흥국생명,1,132,56,108,40,6,3,0.37,65,22,5,2,0.34,5,3,0,0,0.6,2,0,0,0,0.0,14,6,1,1,0.43,10,3,0,0,0.3,12,6,0,0,0.5,74,2,5,0.03,82,67,15,0,23.16,113,40,0,13.99,57,28,2,198.95,52,14,17,10,0,4.67,7,0,8,0,현대건설,1,0.82,0.35,0.49,0.27,74,61
234,234,118,IBK기업은행,1,97,89,177,72,5,11,0.41,100,37,5,7,0.37,7,3,0,0,0.43,4,0,0,0,0.0,20,8,0,2,0.4,5,3,0,0,0.6,41,21,0,2,0.51,104,6,9,0.06,122,98,24,0,21.1,176,66,0,14.899999999999999,94,42,4,203.84,78,11,32,26,0,2.25,8,0,20,1,한국도로공사,3,0.8,0.38,0.45,0.14,105,98
235,235,118,한국도로공사,0,136,78,176,69,11,8,0.39,80,24,7,4,0.3,6,5,0,0,0.83,8,4,1,0,0.5,12,3,1,0,0.25,8,6,0,0,0.75,62,27,2,4,0.44,99,4,5,0.04,122,96,26,0,19.5,168,62,1,12.4,95,48,6,173.01,82,5,42,21,2,1.0,5,0,16,0,IBK기업은행,2,0.79,0.37,0.51,0.06,98,105
236,236,119,KGC인삼공사,0,97,47,120,42,7,6,0.35,72,21,5,5,0.29,7,5,0,0,0.71,0,0,0,0,,18,6,1,0,0.33,4,2,0,0,0.5,19,8,1,1,0.42,67,1,2,0.01,98,75,23,0,26.85,131,41,1,15.0,67,31,3,138.05,63,4,30,17,0,1.34,3,0,9,1,흥국생명,4,0.77,0.31,0.46,0.06,64,75
237,237,119,흥국생명,1,115,66,145,56,4,8,0.39,91,35,1,6,0.38,7,2,0,0,0.29,0,0,0,0,,22,7,3,1,0.32,12,5,0,1,0.42,13,7,0,0,0.54,74,3,6,0.04,94,86,8,0,28.67,146,53,2,17.66,64,30,1,164.53,57,7,24,20,1,2.33,6,0,17,0,KGC인삼공사,1,0.91,0.36,0.47,0.12,75,64
238,238,120,GS칼텍스,0,101,75,170,60,16,12,0.35,88,26,8,8,0.3,2,2,0,0,1.0,0,0,0,0,,28,12,1,1,0.43,12,5,1,1,0.42,40,15,6,2,0.38,104,5,9,0.05,117,94,22,1,19.55,179,55,1,11.6,95,34,7,113.16999999999999,86,10,37,20,0,2.0,9,0,23,0,IBK기업은행,0,0.8,0.31,0.36,0.12,102,106
239,239,120,IBK기업은행,1,115,83,167,60,10,12,0.36,85,28,5,10,0.33,9,0,0,0,0.0,5,3,0,1,0.6,15,3,2,0,0.2,7,3,0,0,0.43,46,23,3,1,0.5,105,7,10,0.07,114,99,13,2,22.22,180,60,1,14.450000000000003,94,42,5,156.17000000000002,92,16,38,25,2,3.35,13,0,27,1,GS칼텍스,3,0.87,0.33,0.45,0.17,106,102
240,240,121,한국도로공사,1,140,64,131,51,6,8,0.39,71,25,2,4,0.35,7,2,1,0,0.29,8,3,0,0,0.38,11,3,1,2,0.27,9,6,0,0,0.67,25,12,2,2,0.48,92,4,3,0.04,95,76,19,0,19.75,132,47,1,14.75,71,41,4,262.56,61,9,25,13,2,2.25,6,0,14,0,흥국생명,2,0.8,0.36,0.58,0.15,93,79
241,241,121,흥국생명,0,123,65,159,55,9,17,0.35,95,32,3,10,0.34,5,2,1,0,0.4,4,3,0,0,0.75,29,9,3,5,0.31,6,2,1,1,0.33,20,7,1,1,0.35,80,4,9,0.05,96,84,12,0,23.33,156,52,1,13.0,89,34,4,224.41,59,6,28,17,2,1.5,6,0,29,1,한국도로공사,1,0.88,0.33,0.38,0.1,79,93
242,242,122,IBK기업은행,1,75,65,115,53,7,5,0.46,61,26,3,3,0.43,7,5,0,0,0.71,3,0,2,0,0.0,18,7,0,1,0.39,8,5,0,0,0.62,18,10,2,1,0.56,74,2,4,0.03,73,62,11,0,20.66,108,47,0,15.66,52,28,2,199.26,42,10,13,15,0,3.34,6,0,9,0,현대건설,3,0.85,0.44,0.54,0.24,74,57
243,243,122,현대건설,0,125,48,95,39,10,2,0.41,48,17,4,2,0.35,5,2,0,0,0.4,0,0,0,0,,23,10,3,0,0.43,5,3,1,0,0.6,14,7,2,0,0.5,58,2,6,0.03,69,49,20,0,17.34,107,38,1,12.66,69,31,2,257.49,39,7,16,9,0,2.3200000000000003,5,0,9,1,IBK기업은행,5,0.71,0.36,0.45,0.18,57,74
244,244,123,GS칼텍스,1,118,81,141,65,5,7,0.46,66,31,3,3,0.47,1,0,0,1,0.0,0,0,0,0,,14,6,0,1,0.43,7,1,0,0,0.14,53,27,2,2,0.51,95,5,12,0.05,92,75,16,1,19.33,148,62,1,16.58,80,33,4,124.95,56,11,15,19,3,2.75,7,0,24,1,KGC인삼공사,0,0.82,0.42,0.41,0.2,96,83
245,245,123,KGC인삼공사,0,105,59,133,50,11,9,0.38,71,24,3,4,0.34,8,5,1,0,0.62,0,0,0,0,,19,3,3,3,0.16,11,6,1,0,0.55,24,12,3,2,0.5,85,4,4,0.05,92,70,22,0,18.34,137,48,1,12.5,83,36,5,165.84,64,5,24,23,1,1.33,4,0,15,0,GS칼텍스,4,0.76,0.35,0.43,0.08,83,96
246,246,124,GS칼텍스,1,118,52,103,43,2,4,0.42,62,19,0,3,0.31,1,1,0,0,1.0,0,0,0,0,,10,5,0,1,0.5,5,2,1,0,0.4,25,16,1,0,0.64,75,6,9,0.08,82,70,12,0,24.33,108,41,0,14.33,46,27,0,181.73000000000002,48,3,23,12,0,0.99,1,0,13,1,IBK기업은행,0,0.85,0.38,0.59,0.06,70,81
247,247,124,IBK기업은행,0,112,68,150,60,9,9,0.4,81,33,5,2,0.41,8,6,0,0,0.75,3,2,0,0,0.67,18,5,3,2,0.28,10,2,0,0,0.2,30,12,1,5,0.4,92,2,9,0.02,91,76,15,0,20.92,153,57,0,15.0,94,42,7,108.84,58,6,27,19,0,1.5,5,0,18,0,GS칼텍스,3,0.84,0.37,0.45,0.1,81,70
248,248,125,한국도로공사,0,136,40,117,38,3,13,0.32,51,12,0,10,0.24,6,1,0,2,0.17,5,3,0,0,0.6,14,4,0,0,0.29,13,6,1,0,0.46,28,12,2,1,0.43,55,0,9,0.0,78,66,12,0,22.66,121,36,1,12.34,65,33,6,128.26,44,2,19,13,1,0.67,2,0,24,1,흥국생명,2,0.85,0.3,0.51,0.05,62,104
249,249,125,흥국생명,1,129,80,155,64,6,16,0.41,78,32,2,7,0.41,4,0,0,0,0.0,4,2,0,0,0.5,25,6,2,8,0.24,9,6,0,1,0.67,35,18,2,0,0.51,97,7,3,0.07,94,77,15,2,20.5,151,61,0,19.5,82,49,2,354.94,70,9,31,22,1,2.25,7,0,22,0,한국도로공사,1,0.82,0.4,0.6,0.13,104,62
250,250,126,KGC인삼공사,1,92,55,116,44,6,8,0.38,64,21,2,4,0.33,3,1,0,0,0.33,1,0,0,1,0.0,8,5,0,1,0.62,10,2,1,0,0.2,30,15,3,2,0.5,74,3,4,0.04,88,74,14,0,25.48,128,44,2,15.33,61,30,1,291.21000000000004,62,8,26,20,0,2.83,6,0,14,1,현대건설,4,0.84,0.34,0.49,0.13,75,67
251,251,126,현대건설,0,129,53,128,46,8,10,0.36,78,25,7,7,0.32,4,1,0,1,0.25,2,2,0,0,1.0,11,6,0,2,0.55,8,2,0,0,0.25,25,10,1,0,0.4,68,1,7,0.01,88,68,19,1,27.85,129,45,2,15.0,70,34,3,330.09000000000003,55,6,20,15,0,2.0,5,0,20,0,KGC인삼공사,5,0.77,0.35,0.49,0.11,67,75
252,252,127,GS칼텍스,0,121,46,125,35,13,9,0.28,61,13,5,5,0.21,4,2,1,0,0.5,3,0,1,1,0.0,22,5,3,2,0.23,8,4,1,0,0.5,27,11,2,1,0.41,59,2,4,0.03,81,64,17,0,24.009999999999998,127,34,0,11.32,72,30,4,207.35,56,9,21,12,0,3.16,8,0,13,1,흥국생명,0,0.79,0.27,0.42,0.16,58,76
253,253,127,흥국생명,1,117,63,129,46,9,8,0.36,78,22,7,4,0.28,5,3,0,1,0.6,2,1,0,0,0.5,19,9,1,2,0.47,6,2,1,0,0.33,19,9,0,1,0.47,75,4,3,0.05,90,82,8,0,29.33,132,45,1,21.67,55,24,2,279.45,59,13,22,17,0,4.33,8,0,12,0,GS칼텍스,1,0.91,0.34,0.44,0.22,76,58
