,index,팀명,범실_평균_다섯,디그_평균_다섯,리시브_평균_다섯,공격종합_평균_다섯,블로킹_평균_다섯,세트_평균_다섯,서브_평균_다섯
19,114,GS칼텍스,25.4,0.8400000000000001,0.48,0.39,0.09,0.358,0.04
19,115,현대건설,19.2,0.852,0.382,0.374,0.16399999999999998,0.34,0.052000000000000005
19,116,IBK기업은행,17.0,0.866,0.39,0.42600000000000005,0.154,0.39999999999999997,0.064
19,117,한국도로공사,20.0,0.834,0.534,0.37799999999999995,0.13,0.34800000000000003,0.04
19,118,KGC인삼공사,17.4,0.8400000000000001,0.37,0.37,0.132,0.33399999999999996,0.033999999999999996
19,119,흥국생명,21.2,0.8720000000000001,0.488,0.33999999999999997,0.11400000000000002,0.316,0.064
20,120,한국도로공사,20.6,0.834,0.542,0.39199999999999996,0.126,0.364,0.044
20,121,현대건설,17.2,0.836,0.4039999999999999,0.398,0.162,0.364,0.066
20,122,IBK기업은행,16.6,0.842,0.366,0.418,0.14200000000000002,0.392,0.07
20,123,흥국생명,19.6,0.866,0.47400000000000003,0.33399999999999996,0.142,0.31,0.05
20,124,GS칼텍스,21.6,0.8140000000000001,0.45599999999999996,0.4,0.088,0.366,0.044
20,125,KGC인삼공사,19.6,0.8320000000000001,0.43600000000000005,0.392,0.12,0.35200000000000004,0.036
21,126,IBK기업은행,16.4,0.8299999999999998,0.402,0.44400000000000006,0.144,0.42800000000000005,0.062
21,127,한국도로공사,20.2,0.8400000000000001,0.524,0.4,0.13399999999999998,0.372,0.046
21,128,KGC인삼공사,20.2,0.826,0.458,0.384,0.098,0.342,0.044
21,129,현대건설,18.0,0.8320000000000001,0.418,0.376,0.146,0.35,0.074
22,130,KGC인삼공사,19.8,0.8140000000000001,0.45,0.378,0.12,0.33799999999999997,0.062
21,131,흥국생명,17.2,0.8460000000000001,0.466,0.324,0.12800000000000003,0.298,0.05800000000000001
21,132,GS칼텍스,19.2,0.798,0.458,0.40599999999999997,0.088,0.368,0.052000000000000005
22,133,한국도로공사,20.4,0.8460000000000001,0.49400000000000005,0.4,0.13000000000000003,0.372,0.05
22,134,IBK기업은행,18.4,0.82,0.41200000000000003,0.41400000000000003,0.13999999999999999,0.4,0.066
22,135,현대건설,16.6,0.8280000000000001,0.434,0.39,0.146,0.364,0.068
22,136,GS칼텍스,18.6,0.7940000000000002,0.442,0.40199999999999997,0.088,0.366,0.057999999999999996
22,137,흥국생명,17.6,0.8400000000000001,0.466,0.32,0.124,0.296,0.052000000000000005
23,138,KGC인삼공사,21.8,0.8240000000000001,0.454,0.386,0.13399999999999998,0.35200000000000004,0.06200000000000001
23,139,한국도로공사,21.0,0.8540000000000001,0.496,0.406,0.11600000000000002,0.378,0.052000000000000005
23,140,현대건설,15.4,0.8299999999999998,0.434,0.392,0.154,0.366,0.078
23,141,흥국생명,19.2,0.82,0.43200000000000005,0.314,0.12,0.294,0.06000000000000001
23,142,GS칼텍스,20.4,0.808,0.43,0.404,0.088,0.37,0.06
23,143,IBK기업은행,19.2,0.826,0.39,0.41600000000000004,0.13199999999999998,0.396,0.054000000000000006
24,144,한국도로공사,21.2,0.8699999999999999,0.524,0.41000000000000003,0.134,0.382,0.05800000000000001
24,145,흥국생명,19.2,0.8039999999999999,0.422,0.33399999999999996,0.10400000000000001,0.312,0.054000000000000006
24,146,IBK기업은행,20.4,0.8320000000000001,0.384,0.41,0.11200000000000002,0.39,0.05
24,147,KGC인삼공사,20.4,0.826,0.44800000000000006,0.368,0.134,0.334,0.054000000000000006
24,148,GS칼텍스,18.4,0.8119999999999999,0.406,0.392,0.094,0.362,0.068
24,149,현대건설,16.4,0.8320000000000001,0.42000000000000004,0.40800000000000003,0.158,0.382,0.07999999999999999
25,150,IBK기업은행,19.0,0.8560000000000001,0.388,0.42200000000000004,0.118,0.4,0.046
25,151,한국도로공사,22.0,0.876,0.496,0.4,0.13,0.36999999999999994,0.052000000000000005
25,152,KGC인삼공사,18.6,0.8320000000000001,0.442,0.334,0.14,0.308,0.055999999999999994
25,153,흥국생명,20.0,0.806,0.39,0.32599999999999996,0.1,0.29800000000000004,0.062
25,154,GS칼텍스,18.2,0.8320000000000001,0.426,0.38000000000000006,0.11599999999999999,0.35000000000000003,0.06200000000000001
25,155,현대건설,19.0,0.8560000000000001,0.41400000000000003,0.376,0.156,0.354,0.07200000000000001
26,156,IBK기업은행,19.8,0.8540000000000001,0.364,0.41200000000000003,0.11600000000000002,0.386,0.04800000000000001
26,157,흥국생명,22.0,0.8220000000000001,0.372,0.332,0.094,0.304,0.054000000000000006
