,시즌,팀명,총경기수,이긴경기,승률,공격종합_성공률,오픈_성공률,시간차_성공률,이동_성공률,후위_성공률,속공_성공률,퀵오픈_성공률,서브_성공률,디그_성공,세트_성공,리시브_정확,블로킹_성공
4,19-20,한국도로공사,26,8,30.76923076923077,23.90182692307692,18.482211538461538,9.53676282051282,4.887820512820513,8.448429487179487,8.083685897435897,16.677500000000002,0.10641025641025642,7.147435897435898,4.051282051282051,3.073717948717949,0.5769230769230769
5,19-20,KGC인삼공사,26,12,46.15384615384615,21.909299363057322,17.728057324840762,8.877770700636942,5.796146496815287,4.476050955414013,7.7075477707006375,14.509808917197452,0.11165605095541402,7.480891719745223,4.611464968152866,2.761146496815287,0.7165605095541401
0,20-21,흥국생명,36,22,61.111111111111114,22.318910411622273,19.89818401937046,10.941089588377723,3.424963680387409,5.85501210653753,6.017772397094431,13.355835351089588,0.10610169491525424,6.539951573849879,4.200968523002421,2.486682808716707,0.6634382566585957
1,20-21,GS칼텍스,33,22,66.66666666666666,22.741674418604653,18.75953488372093,8.144488372093024,0.5426279069767441,4.288023255813953,6.728116279069768,16.533255813953488,0.09774418604651162,6.211627906976744,4.374418604651162,2.6767441860465118,0.7116279069767442
2,20-21,IBK기업은행,33,14,42.42424242424242,22.015409356725147,20.100789473684213,11.822602339181286,5.360994152046784,6.108070175438597,8.584678362573099,12.774766081871347,0.10043859649122808,7.745614035087719,4.950292397660819,2.6871345029239766,0.7251461988304093
3,20-21,현대건설,30,11,36.666666666666664,21.0804,19.964485714285715,10.757171428571429,2.0238,5.631714285714286,9.851571428571429,12.520257142857144,0.06565714285714286,7.265714285714286,4.748571428571428,2.7514285714285713,0.7228571428571429
4,20-21,KGC인삼공사,30,13,43.333333333333336,23.29702247191011,20.926713483146067,7.64311797752809,5.056179775280899,4.5205617977528085,7.324101123595506,13.907387640449437,0.09471910112359551,6.691011235955056,4.348314606741573,2.648876404494382,0.7050561797752809
5,20-21,한국도로공사,30,14,46.666666666666664,21.83961651917404,19.7211209439528,9.686047197640118,5.7645132743362835,8.494306784660768,7.013598820058998,13.970707964601768,0.08029498525073747,7.247787610619469,4.412979351032448,3.0766961651917404,0.8731563421828908
0,21-22,GS칼텍스,30,21,70.0,23.634883116883117,18.92711688311688,7.16761038961039,1.8181818181818181,4.476467532467533,9.096337662337662,13.862,0.11283116883116882,5.358441558441559,3.8337662337662337,2.168831168831169,0.5558441558441558
1,21-22,흥국생명,30,9,30.0,24.60038805970149,20.79259701492537,8.456029850746269,3.436358208955224,4.6637910447761195,8.687104477611939,14.89934328358209,0.09083582089552239,6.838805970149254,4.038805970149253,2.1194029850746268,0.7104477611940299
2,21-22,IBK기업은행,30,10,33.33333333333333,21.463763440860212,17.166129032258066,10.682284946236559,5.989139784946237,3.479032258064516,6.829946236559139,14.309301075268818,0.08,6.064516129032258,3.653225806451613,1.9489247311827957,0.6263440860215054
3,21-22,현대건설,30,25,83.33333333333334,23.1746875,20.422291666666666,11.470104166666667,2.88625,6.264609375,8.386536458333333,15.768489583333334,0.125390625,5.9609375,4.067708333333333,2.0208333333333335,0.7395833333333334
4,21-22,KGC인삼공사,30,14,46.666666666666664,24.372005494505494,20.21129120879121,6.213351648351648,4.317774725274726,4.8622527472527475,7.806401098901099,14.13151098901099,0.105,6.208791208791209,3.802197802197802,2.162087912087912,0.6840659340659341
5,21-22,페퍼저축은행,30,3,10.0,18.393280839895013,17.23288713910761,12.095380577427822,2.9964829396325463,4.564173228346457,5.6849343832020995,11.48459317585302,0.0863254593175853,4.7795275590551185,3.073490813648294,1.8398950131233596,0.41732283464566927
6,21-22,한국도로공사,30,23,76.66666666666667,23.597110481586405,19.71042492917847,13.477478753541076,5.217167138810199,8.051558073654391,6.22356940509915,16.035552407932013,0.10354107648725212,6.592067988668555,4.0821529745042495,2.501416430594901,0.8498583569405099
