,index,팀명,범실_평균_다섯,디그_평균_다섯,리시브_평균_다섯,공격종합_평균_다섯,블로킹_평균_다섯,세트_평균_다섯,서브_평균_다섯
102,666,대한항공,25.2,0.738,0.434,0.502,0.146,0.4640000000000001,0.09
91,667,한국전력,21.2,0.7060000000000001,0.466,0.49800000000000005,0.132,0.472,0.032
94,668,우리카드,17.2,0.716,0.47000000000000003,0.5599999999999999,0.178,0.542,0.046
100,669,현대캐피탈,21.2,0.7659999999999999,0.49000000000000005,0.584,0.26,0.55,0.054000000000000006
92,670,KB손해보험,19.2,0.75,0.394,0.47400000000000003,0.16999999999999998,0.44400000000000006,0.028000000000000004
92,671,OK금융그룹,20.6,0.764,0.39,0.5199999999999999,0.18,0.512,0.07600000000000001
95,672,삼성화재,18.4,0.784,0.378,0.5539999999999999,0.14600000000000002,0.45600000000000007,0.030000000000000006
92,673,한국전력,22.8,0.7139999999999999,0.4720000000000001,0.48200000000000004,0.13599999999999998,0.454,0.026000000000000002
103,674,대한항공,25.4,0.748,0.446,0.5040000000000001,0.158,0.4699999999999999,0.05800000000000001
101,675,현대캐피탈,22.0,0.756,0.47800000000000004,0.5439999999999999,0.24399999999999994,0.518,0.048
93,676,OK금융그룹,23.4,0.766,0.396,0.516,0.16,0.49399999999999994,0.064
95,677,우리카드,17.8,0.738,0.4880000000000001,0.572,0.154,0.5519999999999999,0.054000000000000006
93,678,한국전력,20.4,0.716,0.506,0.4699999999999999,0.156,0.44399999999999995,0.024
102,679,현대캐피탈,21.4,0.74,0.47400000000000003,0.556,0.256,0.522,0.05
93,680,KB손해보험,20.4,0.708,0.396,0.492,0.18000000000000002,0.458,0.030000000000000006
96,681,우리카드,20.0,0.7540000000000001,0.49399999999999994,0.57,0.17400000000000002,0.542,0.05
104,682,대한항공,24.0,0.7540000000000001,0.45,0.5,0.156,0.47000000000000003,0.046
96,683,삼성화재,18.2,0.7779999999999999,0.352,0.562,0.136,0.4640000000000001,0.03
94,684,OK금융그룹,25.6,0.768,0.41,0.5,0.17,0.47800000000000004,0.08399999999999999
94,685,한국전력,16.0,0.682,0.502,0.45599999999999996,0.172,0.42000000000000004,0.042
94,686,KB손해보험,20.6,0.736,0.356,0.48200000000000004,0.182,0.44800000000000006,0.032
103,687,현대캐피탈,21.0,0.7380000000000001,0.454,0.556,0.248,0.5199999999999999,0.046
97,688,삼성화재,18.2,0.762,0.342,0.5379999999999999,0.10600000000000001,0.526,0.034
97,689,우리카드,19.4,0.7579999999999999,0.47400000000000003,0.566,0.178,0.532,0.05600000000000001
95,690,OK금융그룹,31.0,0.7879999999999999,0.44800000000000006,0.53,0.17,0.484,0.1
105,691,대한항공,21.0,0.7540000000000001,0.44799999999999995,0.532,0.15200000000000002,0.496,0.05
95,692,KB손해보험,22.2,0.726,0.34199999999999997,0.5,0.17600000000000002,0.472,0.028000000000000004
95,693,한국전력,15.2,0.692,0.49000000000000005,0.446,0.172,0.41000000000000003,0.041999999999999996
98,694,삼성화재,16.8,0.776,0.35,0.504,0.092,0.4920000000000001,0.028000000000000004
104,695,현대캐피탈,22.0,0.7459999999999999,0.462,0.5640000000000001,0.21000000000000002,0.5279999999999999,0.05
96,696,OK금융그룹,30.0,0.712,0.472,0.524,0.144,0.48200000000000004,0.08399999999999999
106,697,대한항공,19.2,0.736,0.458,0.556,0.17,0.522,0.054000000000000006
96,698,KB손해보험,22.8,0.732,0.364,0.49800000000000005,0.15199999999999997,0.47400000000000003,0.036
96,699,한국전력,16.2,0.708,0.458,0.43199999999999994,0.21000000000000002,0.40199999999999997,0.036
99,700,삼성화재,18.8,0.772,0.36,0.4779999999999999,0.08,0.472,0.03
98,701,우리카드,19.0,0.78,0.43200000000000005,0.538,0.17400000000000002,0.506,0.06000000000000001
107,702,대한항공,18.6,0.7460000000000001,0.488,0.584,0.22800000000000004,0.55,0.05
105,703,현대캐피탈,24.4,0.756,0.49799999999999994,0.5599999999999999,0.22000000000000003,0.5339999999999999,0.042
97,704,KB손해보험,23.4,0.7380000000000001,0.40800000000000003,0.5119999999999999,0.15000000000000002,0.488,0.038
97,705,OK금융그룹,26.2,0.704,0.492,0.524,0.152,0.48200000000000004,0.074
99,706,우리카드,19.4,0.7899999999999999,0.43200000000000005,0.552,0.186,0.514,0.06000000000000001
106,707,현대캐피탈,26.2,0.7719999999999999,0.516,0.5539999999999999,0.236,0.526,0.046
108,708,대한항공,22.6,0.732,0.472,0.592,0.22000000000000003,0.5519999999999999,0.057999999999999996
100,709,삼성화재,15.0,0.78,0.258,0.4739999999999999,0.064,0.44399999999999995,0.018
98,710,OK금융그룹,22.4,0.716,0.442,0.52,0.15,0.472,0.08000000000000002
97,711,한국전력,16.4,0.716,0.45599999999999996,0.44600000000000006,0.198,0.41999999999999993,0.038
98,712,KB손해보험,20.8,0.758,0.384,0.508,0.14400000000000002,0.484,0.048
107,713,현대캐피탈,27.8,0.7899999999999999,0.528,0.5159999999999999,0.22399999999999998,0.492,0.034
109,714,대한항공,22.6,0.734,0.506,0.5880000000000001,0.24,0.5459999999999999,0.064
100,715,우리카드,18.6,0.796,0.418,0.536,0.21799999999999997,0.49000000000000005,0.05
99,716,KB손해보험,21.8,0.738,0.38,0.506,0.146,0.47800000000000004,0.05600000000000001
101,717,삼성화재,16.4,0.7899999999999999,0.242,0.46799999999999997,0.076,0.446,0.022000000000000002
101,718,우리카드,16.2,0.7859999999999999,0.43599999999999994,0.52,0.19,0.48199999999999993,0.044
98,719,한국전력,17.6,0.724,0.442,0.44800000000000006,0.16399999999999998,0.418,0.044
99,720,OK금융그룹,20.0,0.7180000000000001,0.442,0.55,0.13799999999999998,0.504,0.068
108,721,현대캐피탈,29.4,0.8,0.526,0.5,0.22599999999999998,0.4720000000000001,0.028000000000000004
100,722,KB손해보험,22.4,0.734,0.404,0.51,0.14200000000000002,0.48200000000000004,0.068
110,723,대한항공,23.8,0.7419999999999999,0.46799999999999997,0.556,0.25799999999999995,0.526,0.06
