index,경기번호,경기날짜,팀명,홈_어웨이,결과,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,서브_시도,서브_성공,서브_범실,서브_성공률,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,세트_시도,세트_성공,세트_범실,세트_세트당,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_어시스트,벌칙_벌칙,범실_범실,득점점유율,스타팅멤버,팀코드,디그_성공률,세트_성공률,리시브_정확도,블로킹_성공률,총_점수,실점,상대팀
22,12,2017-10-27,OK저축은행,0,0,66,108,48,11,8,0.44,34,11,5,4,0.32,6,3,1,0,0.5,2,0,1,1,0.0,24,13,1,2,0.54,12,6,0,0,0.5,30,15,3,1,0.5,93,9,14,0.1,45,33,12,0,7.28,106,45,1,12.33,85,39,11,5.6,51,9,9,29,0,2.43,6,0,23,0.9999999999999996,6,4,0.73,0.42,0.46,0.18,100,108,우리카드
23,12,2017-10-27,우리카드,1,1,82,99,60,9,10,0.61,40,23,4,5,0.57,4,3,0,0,0.75,0,0,0,0,0.0,27,20,1,2,0.74,10,6,1,0,0.6,18,8,3,3,0.44,105,11,19,0.1,45,34,11,0,6.8500000000000005,101,58,1,11.6,78,30,9,4.2,58,11,14,20,1,2.2,7,0,31,0.9999999999999998,6,6,0.76,0.57,0.38,0.19,108,100,OK저축은행
24,13,2017-10-28,KB손해보험,0,1,48,77,37,8,3,0.48,40,14,7,2,0.35,2,1,0,0,0.5,0,0,0,0,0.0,17,9,1,1,0.53,3,2,0,0,0.67,15,11,0,0,0.73,49,6,15,0.12,37,27,10,0,9.0,71,35,1,11.66,47,16,2,4.67,24,5,10,5,0,1.6700000000000002,5,0,19,1.0,3,2,0.73,0.49,0.34,0.21,77,70,대한항공
25,13,2017-10-28,대한항공,1,0,44,72,34,7,6,0.47,28,8,3,2,0.29,6,4,0,1,0.67,0,0,0,0,0.0,19,11,0,3,0.58,5,2,1,0,0.4,14,9,3,0,0.64,63,2,9,0.03,32,24,8,0,8.0,65,32,0,10.66,46,23,6,6.0,48,8,14,18,2,2.66,6,0,17,0.9999999999999996,5,0,0.75,0.49,0.5,0.17,70,77,KB손해보험
26,14,2017-10-29,삼성화재,0,1,50,63,36,7,0,0.57,24,13,3,0,0.54,3,1,1,0,0.33,0,0,0,0,0.0,20,13,3,0,0.65,5,3,0,0,0.6,11,6,0,0,0.55,70,3,8,0.04,28,25,3,0,8.34,63,33,2,11.0,47,31,4,9.0,37,11,7,12,3,3.66,9,0,13,1.0,6,3,0.89,0.52,0.66,0.3,75,52,한국전력
27,14,2017-10-29,한국전력,1,0,33,67,24,10,13,0.36,33,6,6,9,0.18,2,1,0,0,0.5,0,0,0,0,0.0,14,8,0,3,0.57,7,3,2,1,0.43,11,6,2,0,0.55,40,2,6,0.05,24,17,7,0,5.66,50,15,0,4.99,63,31,3,9.34,27,7,7,11,1,2.33,6,0,20,1.0,6,5,0.71,0.3,0.49,0.26,52,75,삼성화재
28,15,2017-10-31,OK저축은행,0,0,61,108,49,10,5,0.45,41,14,5,4,0.34,5,1,0,0,0.2,0,0,0,0,0.0,25,14,2,0,0.56,13,6,2,0,0.46,24,14,1,1,0.58,75,2,15,0.03,51,41,10,0,10.66,118,52,0,13.0,82,47,7,10.33,38,10,10,14,1,2.66,7,0,21,0.9999999999999996,5,4,0.8,0.44,0.57,0.26,84,97,현대캐피탈
29,15,2017-10-31,현대캐피탈,1,1,71,103,53,11,6,0.51,44,21,5,3,0.48,4,2,0,0,0.5,0,0,0,0,0.0,24,15,3,3,0.62,15,8,1,0,0.53,16,7,2,0,0.44,95,7,4,0.07,57,46,11,0,11.5,110,51,3,12.75,65,32,2,7.5,62,11,18,23,2,2.75,10,0,15,0.9999999999999996,6,1,0.81,0.46,0.49,0.18,97,84,OK저축은행
30,16,2017-11-01,KB손해보험,0,0,81,117,63,11,6,0.54,33,14,4,4,0.42,8,6,0,1,0.75,0,0,0,0,0.0,29,18,1,0,0.62,15,10,0,0,0.67,32,15,6,1,0.47,108,8,21,0.07,45,36,9,0,9.0,109,53,1,13.25,98,50,10,10.0,57,10,9,29,3,2.5,10,0,31,0.9999999999999996,6,2,0.8,0.49,0.51,0.18,115,119,우리카드
31,16,2017-11-01,우리카드,1,1,82,114,62,11,10,0.54,35,18,3,3,0.51,4,3,0,0,0.75,1,1,0,0,1.0,32,15,6,5,0.47,13,8,0,1,0.62,29,17,2,1,0.59,113,9,19,0.08,56,43,12,1,11.16,121,60,3,15.25,92,45,8,9.5,59,11,17,21,0,2.75,10,0,33,0.9999999999999996,5,6,0.77,0.5,0.49,0.19,119,115,KB손해보험
