index,경기번호,경기날짜,팀명,홈_어웨이,결과,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,서브_시도,서브_성공,서브_범실,서브_성공률,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,세트_시도,세트_성공,세트_범실,세트_세트당,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_어시스트,벌칙_벌칙,범실_범실,득점점유율,스타팅멤버,팀코드,디그_성공률,세트_성공률,리시브_정확도,블로킹_성공률,총_점수,실점,상대팀
568,285,2019-11-05,OK저축은행,1,0,36,78,28,15,5,0.36,32,14,7,2,0.44,0,0,0,0,0.0,0,0,0,0,0.0,20,9,3,2,0.45,2,0,1,0,0.0,24,5,4,1,0.21,52,2,6,0.04,43,31,12,0,10.33,82,28,0,9.32,60,18,6,54.99,23,6,9,6,0,2.0,4,0,11,1.0,3,4,0.72,0.34,0.3,0.26,67,78,현대캐피탈
569,285,2019-11-05,현대캐피탈,0,1,50,62,31,5,6,0.5,29,10,4,3,0.34,2,2,0,0,1.0,0,0,0,0,0.0,14,7,1,2,0.5,11,8,0,0,0.73,6,4,0,1,0.67,67,4,13,0.06,36,28,8,0,9.33,78,33,0,10.99,49,15,2,136.33,44,15,12,10,1,5.01,10,0,20,1.0,6,1,0.78,0.42,0.31,0.34,78,67,OK저축은행
570,286,2019-11-06,대한항공,1,1,57,66,41,3,6,0.62,21,10,1,4,0.48,1,1,0,0,1.0,0,0,0,0,0.0,22,15,1,1,0.68,7,5,0,0,0.71,15,10,1,1,0.67,74,6,16,0.08,38,27,11,0,8.99,66,39,0,13.0,48,22,3,126.7,39,10,11,12,0,3.33,9,0,22,0.9999999999999998,6,0,0.71,0.59,0.46,0.26,79,66,우리카드
571,286,2019-11-06,우리카드,0,0,37,64,32,9,2,0.5,21,8,3,1,0.38,0,0,0,0,0.0,0,0,0,0,0.0,19,10,4,0,0.53,4,2,0,1,0.5,20,12,2,0,0.6,58,2,17,0.03,27,18,9,0,6.0,66,32,0,10.66,60,20,6,93.55,22,3,2,11,1,0.99,2,0,20,1.0,5,6,0.67,0.48,0.33,0.14,66,79,대한항공
572,287,2019-11-07,KB손해보험,0,0,50,91,40,13,11,0.44,34,14,5,5,0.41,1,1,0,0,1.0,0,0,0,0,0.0,25,12,4,3,0.48,6,3,0,0,0.5,25,10,4,3,0.4,73,6,11,0.08,46,34,12,0,8.92,106,42,0,10.58,73,31,2,75.38,48,4,12,26,0,1.16,3,0,22,1.0,6,2,0.74,0.4,0.42,0.08,84,94,삼성화재
573,287,2019-11-07,삼성화재,1,1,49,75,39,3,9,0.52,39,19,2,6,0.49,1,1,0,0,1.0,0,0,0,0,0.0,11,4,0,2,0.36,5,2,0,0,0.4,19,13,1,1,0.68,69,2,12,0.03,30,27,3,0,7.58,89,49,0,12.5,45,16,2,120.36,45,8,8,21,1,2.16,10,0,22,0.9999999999999998,3,3,0.9,0.55,0.36,0.18,94,84,KB손해보험
574,288,2019-11-08,한국전력,1,1,70,95,53,9,4,0.56,44,20,4,2,0.45,2,1,0,0,0.5,0,0,0,0,0.0,24,15,0,2,0.62,5,3,1,0,0.6,20,14,4,0,0.7,91,11,6,0.12,54,35,19,0,9.08,106,54,0,13.5,57,17,2,85.9,45,6,11,17,0,1.5,2,0,10,0.9999999999999996,6,5,0.65,0.51,0.3,0.13,102,93,현대캐피탈
575,288,2019-11-08,현대캐피탈,0,0,77,120,64,6,11,0.53,53,24,3,7,0.45,0,0,0,0,0.0,0,0,0,0,0.0,26,19,1,1,0.73,16,7,2,0,0.44,25,14,0,3,0.56,89,4,13,0.04,62,44,18,0,11.58,120,63,0,15.83,93,33,11,99.88,57,9,18,24,0,2.33,7,0,24,0.9999999999999996,5,1,0.71,0.52,0.35,0.16,93,102,한국전력
576,289,2019-11-09,OK저축은행,0,0,86,127,68,12,10,0.54,45,19,6,3,0.42,5,3,0,1,0.6,0,0,0,0,0.0,25,16,1,3,0.64,14,6,1,2,0.43,38,24,4,1,0.63,95,8,17,0.08,51,42,9,0,8.88,86,46,1,11.3,98,30,10,85.78,54,10,9,27,2,2.1,10,0,30,0.9999999999999996,6,4,0.82,0.53,0.31,0.19,110,115,우리카드
577,289,2019-11-09,우리카드,1,1,82,108,60,10,5,0.56,48,22,8,1,0.46,5,4,0,0,0.8,0,0,0,0,0.0,20,13,1,2,0.65,9,7,0,0,0.78,26,14,1,2,0.54,110,10,16,0.09,57,37,20,0,7.65,113,58,0,11.599999999999998,91,30,9,94.35,57,12,12,23,1,2.4,8,0,22,0.9999999999999996,6,6,0.65,0.51,0.33,0.21,115,110,OK저축은행
578,290,2019-11-10,대한항공,0,1,77,109,61,5,8,0.56,45,17,4,4,0.38,0,0,0,0,0.0,0,0,0,0,0.0,25,19,0,3,0.76,11,5,0,0,0.45,28,20,1,1,0.71,105,11,27,0.1,49,40,9,0,8.98,114,60,2,12.1,84,36,6,258.72,47,5,11,27,1,1.2,6,0,38,0.9999999999999996,6,0,0.82,0.53,0.43,0.11,107,104,삼성화재
579,290,2019-11-10,삼성화재,1,0,59,83,50,6,5,0.6,42,25,4,2,0.6,1,1,0,0,1.0,0,0,0,0,0.0,17,10,1,1,0.59,11,6,0,1,0.55,12,8,1,1,0.67,85,4,16,0.05,51,36,15,0,7.83,71,38,2,9.23,65,19,8,52.27,37,5,11,15,0,1.05,4,0,23,0.9999999999999998,6,3,0.71,0.54,0.29,0.14,104,107,대한항공
580,291,2019-11-12,KB손해보험,0,1,72,104,59,16,6,0.57,32,13,7,3,0.41,3,2,0,0,0.67,0,0,0,0,0.0,28,15,4,2,0.54,12,10,0,0,0.83,29,19,5,1,0.66,95,3,13,0.03,53,41,12,0,10.33,112,59,0,14.75,81,41,3,254.3,58,10,11,23,0,2.5,9,0,19,0.9999999999999998,6,2,0.77,0.53,0.51,0.17,102,102,현대캐피탈
581,291,2019-11-12,현대캐피탈,1,0,71,112,53,11,7,0.47,43,14,3,4,0.33,5,5,0,0,1.0,0,0,0,0,0.0,20,7,4,1,0.35,21,14,1,1,0.67,23,13,3,1,0.57,86,3,16,0.03,45,35,10,0,9.34,75,33,0,10.83,81,41,3,193.8,53,15,10,20,1,3.75,11,0,24,0.9999999999999996,6,1,0.78,0.44,0.51,0.28,102,102,KB손해보험
582,292,2019-11-13,OK저축은행,1,0,72,97,47,9,9,0.48,25,12,3,1,0.48,2,2,0,0,1.0,0,0,0,0,0.0,24,9,4,4,0.38,18,12,1,0,0.67,28,12,1,4,0.43,97,10,17,0.1,43,33,10,0,7.45,99,44,4,12.42,88,35,8,191.23,61,15,12,25,1,3.88,12,0,31,0.9999999999999994,7,4,0.77,0.44,0.4,0.25,98,102,삼성화재
583,292,2019-11-13,삼성화재,0,1,68,105,52,14,8,0.5,38,14,6,3,0.37,2,1,0,0,0.5,0,0,0,0,0.0,31,15,4,4,0.48,16,11,2,0,0.69,18,11,2,1,0.61,96,7,12,0.07,58,42,16,0,9.02,100,48,0,9.65,69,20,9,156.43,44,9,14,18,0,1.7999999999999998,8,0,20,0.9999999999999998,6,3,0.72,0.48,0.29,0.2,102,98,OK저축은행
584,293,2019-11-14,대한항공,0,1,84,120,65,8,16,0.54,49,18,4,9,0.37,2,2,0,0,1.0,0,0,0,0,0.0,21,12,2,5,0.57,18,11,2,0,0.61,30,22,0,2,0.73,113,9,17,0.08,71,50,21,0,10.0,122,62,0,12.4,83,43,3,269.38,54,10,18,18,1,2.0,8,0,34,0.9999999999999996,6,0,0.7,0.51,0.52,0.19,115,104,한국전력
585,293,2019-11-14,한국전력,1,0,68,112,58,10,7,0.52,28,10,2,3,0.36,6,5,1,0,0.83,0,0,0,0,0.0,22,13,0,1,0.59,12,7,1,2,0.58,44,23,6,1,0.52,100,3,20,0.03,48,35,13,0,7.05,116,57,0,11.4,91,23,9,44.84,53,7,12,22,1,1.4,6,0,28,0.9999999999999998,6,5,0.73,0.49,0.25,0.13,104,115,대한항공
586,294,2019-11-15,우리카드,0,1,58,90,45,5,9,0.5,30,17,1,3,0.57,2,2,0,0,1.0,0,0,0,0,0.0,20,10,1,4,0.5,10,4,1,2,0.4,28,12,2,0,0.43,87,4,8,0.05,64,48,16,0,12.08,101,48,0,12.08,68,35,4,287.5,34,9,8,13,0,2.25,4,0,17,1.0,5,6,0.75,0.48,0.51,0.26,97,82,현대캐피탈
587,294,2019-11-15,현대캐피탈,1,0,57,102,49,7,11,0.48,31,14,1,4,0.45,6,3,1,0,0.5,0,0,0,0,0.0,16,7,0,4,0.44,26,13,0,3,0.5,23,12,5,0,0.52,67,3,13,0.04,45,34,11,0,9.25,65,28,0,9.0,87,49,5,192.64,44,5,13,19,0,1.33,4,0,24,0.9999999999999996,3,1,0.76,0.43,0.56,0.11,82,97,우리카드
588,295,2019-11-16,KB손해보험,0,0,71,103,50,12,10,0.49,34,12,4,5,0.35,4,2,0,0,0.5,0,0,0,0,0.0,31,17,4,4,0.55,11,6,1,0,0.55,23,13,3,1,0.57,89,9,22,0.1,44,35,8,1,7.67,93,44,2,8.93,85,31,10,95.49,61,12,13,19,2,2.66,11,0,37,0.9999999999999996,6,2,0.8,0.47,0.36,0.2,96,102,OK저축은행
589,295,2019-11-16,OK저축은행,1,1,62,92,40,10,6,0.43,30,10,4,3,0.33,2,0,0,0,0.0,0,0,0,0,0.0,18,8,4,1,0.44,16,10,0,0,0.62,26,12,2,2,0.46,99,10,17,0.1,59,42,17,0,8.4,84,36,1,7.2,66,26,6,90.72,53,12,14,20,1,2.4000000000000004,12,0,25,0.9999999999999994,7,4,0.71,0.43,0.39,0.23,102,96,KB손해보험
590,296,2019-11-17,삼성화재,0,1,65,99,54,3,6,0.55,41,20,1,3,0.49,4,2,1,0,0.5,0,0,0,0,0.0,21,10,0,3,0.48,13,8,0,0,0.62,20,14,1,0,0.7,91,4,12,0.04,57,47,10,0,12.0,100,48,1,12.08,59,27,2,109.32,56,7,16,27,1,1.92,6,0,20,0.9999999999999998,6,3,0.82,0.48,0.46,0.12,98,86,한국전력
591,296,2019-11-17,한국전력,1,0,54,87,46,7,6,0.53,27,12,0,3,0.44,2,2,0,0,1.0,0,0,0,0,0.0,17,7,5,1,0.41,12,7,0,1,0.58,29,18,2,1,0.62,73,4,14,0.05,46,36,10,0,9.75,110,51,0,14.0,55,24,1,94.64,39,4,12,14,0,1.17,3,0,20,0.9999999999999996,4,5,0.78,0.46,0.44,0.1,86,98,삼성화재
592,297,2019-11-19,KB손해보험,1,0,29,70,26,6,8,0.37,17,5,0,1,0.29,4,2,0,1,0.5,0,0,0,0,0.0,28,9,3,4,0.32,2,1,0,0,0.5,19,9,3,2,0.47,43,0,5,0.0,40,29,11,0,9.66,53,23,0,7.66,53,23,0,131.74,22,3,6,12,0,1.0,1,0,13,1.0,3,2,0.72,0.43,0.43,0.14,57,75,우리카드
593,297,2019-11-19,우리카드,0,1,53,75,45,3,4,0.6,24,10,1,3,0.42,3,3,0,0,1.0,0,0,0,0,0.0,16,10,1,1,0.62,15,11,0,0,0.73,17,11,1,0,0.65,71,0,5,0.0,42,33,9,0,11.0,73,41,1,13.66,47,31,0,226.19,53,8,11,21,2,2.66,7,0,12,0.9999999999999996,6,6,0.79,0.56,0.66,0.15,75,57,KB손해보험
594,298,2019-11-20,OK저축은행,0,0,59,98,49,12,10,0.5,26,8,4,3,0.31,2,1,0,0,0.5,0,0,0,0,0.0,22,13,1,3,0.59,14,7,1,1,0.5,34,20,6,3,0.59,83,3,12,0.04,39,27,12,0,5.67,87,39,0,7.800000000000001,84,28,5,88.9,46,7,10,21,1,1.4,6,0,23,0.9999999999999998,6,4,0.69,0.45,0.33,0.15,90,111,대한항공
595,298,2019-11-20,대한항공,1,1,84,103,64,7,7,0.62,30,16,1,4,0.53,1,1,0,0,1.0,0,0,0,0,0.0,22,14,2,1,0.64,18,8,2,2,0.44,32,25,2,0,0.78,108,7,21,0.06,60,38,21,1,7.8,107,63,0,12.65,76,35,3,176.89,45,13,10,15,2,2.6,9,0,31,0.9999999999999998,6,0,0.63,0.59,0.46,0.29,111,90,OK저축은행
596,299,2019-11-21,삼성화재,1,1,73,106,56,3,3,0.53,46,24,1,1,0.52,3,3,0,0,1.0,0,0,0,0,0.0,15,10,0,1,0.67,12,6,0,0,0.5,30,13,2,1,0.43,96,5,15,0.05,67,54,13,0,13.67,118,55,1,13.75,73,27,2,137.48000000000002,50,12,15,16,3,3.08,6,0,22,1.0,6,3,0.81,0.47,0.37,0.24,102,84,현대캐피탈
597,299,2019-11-21,현대캐피탈,0,0,60,122,55,12,13,0.45,35,14,3,5,0.4,4,1,2,0,0.25,0,0,0,0,0.0,23,11,0,3,0.48,16,6,2,1,0.38,44,23,5,4,0.52,81,2,11,0.02,62,46,16,0,11.5,77,31,1,7.75,81,48,4,226.0,52,3,19,19,1,0.75,3,0,26,0.9999999999999998,6,1,0.74,0.4,0.59,0.06,84,102,삼성화재
598,300,2019-11-22,우리카드,1,1,44,71,38,1,8,0.54,22,11,1,3,0.5,4,3,0,0,0.75,0,0,0,0,0.0,15,8,0,1,0.53,7,4,0,0,0.57,23,12,0,4,0.52,56,0,2,0.0,44,35,9,0,11.67,75,38,0,12.67,47,28,2,213.13,42,6,12,14,1,2.0,1,0,11,0.9999999999999998,4,6,0.8,0.51,0.6,0.14,76,62,한국전력
599,300,2019-11-22,한국전력,0,0,47,89,44,5,10,0.49,22,11,3,2,0.5,5,3,0,0,0.6,0,0,0,0,0.0,22,8,1,3,0.36,9,6,0,1,0.67,31,16,1,4,0.52,55,2,14,0.04,38,30,8,0,9.99,57,27,0,9.0,68,31,0,146.04,30,1,6,16,1,0.33,1,0,25,1.0,5,5,0.79,0.47,0.46,0.03,62,76,우리카드
600,301,2019-11-23,KB손해보험,1,0,40,62,28,9,9,0.45,17,7,1,4,0.41,2,0,1,1,0.0,0,0,0,0,0.0,20,8,6,2,0.4,9,5,1,0,0.56,14,8,0,2,0.57,63,0,8,0.0,31,20,11,0,6.66,65,28,0,9.33,57,27,7,135.0,44,12,7,18,1,3.99,9,0,18,1.0,4,2,0.65,0.43,0.47,0.27,64,75,대한항공
601,301,2019-11-23,대한항공,0,1,55,77,39,12,4,0.51,19,7,2,3,0.37,1,0,0,0,0.0,0,0,0,0,0.0,12,7,2,1,0.58,17,10,2,0,0.59,28,15,6,0,0.54,74,7,17,0.09,31,22,9,0,7.33,78,39,1,13.0,56,32,0,172.31,28,9,4,11,2,3.0,5,0,24,0.9999999999999998,6,0,0.71,0.5,0.57,0.32,75,64,KB손해보험
602,302,2019-11-24,OK저축은행,0,0,31,55,28,6,2,0.51,14,5,4,1,0.36,2,1,0,1,0.5,0,0,0,0,0.0,12,7,2,0,0.58,9,4,0,0,0.44,18,11,0,0,0.61,47,1,8,0.02,27,21,6,0,6.99,74,31,0,10.33,48,22,3,178.81,19,2,3,8,0,0.67,2,0,10,1.0,3,4,0.78,0.42,0.46,0.11,65,76,현대캐피탈
603,302,2019-11-24,현대캐피탈,1,1,59,77,42,5,6,0.55,19,8,2,1,0.42,0,0,0,0,0.0,0,0,0,0,0.0,27,13,2,3,0.48,13,9,1,1,0.69,18,12,0,1,0.67,73,5,13,0.07,38,32,6,0,10.66,78,38,3,12.67,56,27,2,132.21,40,12,10,13,1,4.0,9,0,23,0.9999999999999998,6,1,0.84,0.49,0.48,0.3,76,65,OK저축은행
604,303,2019-11-26,KB손해보험,0,0,59,119,46,14,6,0.39,46,11,7,4,0.24,5,3,1,0,0.6,0,0,0,0,0.0,30,13,3,1,0.43,14,7,0,0,0.5,24,12,3,1,0.5,76,2,9,0.03,69,56,13,0,14.0,123,46,1,11.5,68,25,4,121.8,54,11,14,25,0,2.75,4,0,16,0.9999999999999996,6,2,0.81,0.37,0.37,0.2,86,95,한국전력
605,303,2019-11-26,한국전력,1,1,74,110,52,10,11,0.47,35,15,3,2,0.43,3,2,0,0,0.67,0,0,0,0,0.0,38,20,1,6,0.53,7,2,1,1,0.29,27,13,5,2,0.48,92,5,8,0.05,64,49,15,0,12.25,115,51,1,12.83,76,30,2,112.0,61,17,13,17,2,4.5,13,0,22,0.9999999999999996,5,5,0.77,0.44,0.39,0.28,95,86,KB손해보험
606,304,2019-11-27,삼성화재,0,0,33,57,28,10,9,0.49,22,11,2,4,0.5,4,2,1,0,0.5,0,0,0,0,0.0,11,4,3,3,0.36,6,3,1,0,0.5,14,8,3,2,0.57,51,2,8,0.04,29,22,7,0,7.32,69,35,1,11.66,61,16,8,57.38,20,3,5,9,0,0.99,1,0,18,1.0,4,3,0.76,0.51,0.26,0.15,56,75,우리카드
607,304,2019-11-27,우리카드,1,1,51,57,31,3,5,0.54,16,9,1,2,0.56,2,2,0,0,1.0,0,0,0,0,0.0,9,4,1,3,0.44,11,6,0,0,0.55,19,10,1,0,0.53,72,9,5,0.12,26,17,9,0,5.66,55,27,1,8.99,44,23,2,143.43,36,11,4,16,0,3.66,9,0,11,1.0,6,6,0.65,0.49,0.52,0.31,75,56,삼성화재
608,305,2019-11-28,대한항공,1,0,46,79,39,7,5,0.49,34,14,1,2,0.41,1,0,0,0,0.0,0,0,0,0,0.0,19,10,2,3,0.53,8,6,1,0,0.75,17,9,3,0,0.53,69,4,17,0.06,31,23,8,0,7.67,76,38,0,12.67,60,25,5,212.88,28,3,5,17,1,0.99,2,0,23,1.0,6,0,0.74,0.5,0.42,0.11,69,77,현대캐피탈
609,305,2019-11-28,현대캐피탈,0,1,54,68,42,3,6,0.62,19,9,0,3,0.47,0,0,0,0,0.0,0,0,0,0,0.0,18,11,2,1,0.61,12,9,0,0,0.75,19,13,1,2,0.68,75,5,15,0.07,35,25,9,1,8.32,73,42,0,14.0,54,32,4,175.0,42,7,9,20,0,2.33,6,0,22,0.9999999999999996,6,1,0.71,0.58,0.59,0.17,77,69,대한항공
610,306,2019-11-29,OK저축은행,1,0,86,141,69,15,11,0.49,47,21,3,6,0.45,3,1,1,0,0.33,0,0,0,0,0.0,25,11,5,2,0.44,18,11,1,1,0.61,48,25,5,2,0.52,103,11,22,0.11,65,51,14,0,10.63,130,62,2,12.4,98,37,4,154.11,52,6,16,23,1,1.2,5,0,36,0.9999999999999996,7,4,0.78,0.48,0.38,0.12,104,111,한국전력
611,306,2019-11-29,한국전력,0,1,74,99,55,6,5,0.56,35,14,2,2,0.4,4,4,0,0,1.0,0,0,0,0,0.0,31,20,3,2,0.65,9,6,0,1,0.67,20,11,1,0,0.55,109,4,10,0.04,59,44,15,0,8.8,105,54,1,10.8,81,23,11,55.17,76,15,16,32,1,3.0,10,0,17,0.9999999999999998,6,5,0.75,0.51,0.28,0.2,111,104,OK저축은행
612,307,2019-11-30,KB손해보험,1,0,92,140,71,11,13,0.51,54,26,6,3,0.48,7,3,1,2,0.43,0,0,0,0,0.0,34,15,3,6,0.44,14,10,0,0,0.71,31,17,1,2,0.55,112,1,15,0.01,63,54,9,0,10.93,144,67,1,13.4,104,51,5,177.52,88,20,19,38,3,4.0,15,0,32,0.9999999999999998,6,2,0.86,0.47,0.49,0.23,114,117,삼성화재
613,307,2019-11-30,삼성화재,0,1,72,114,57,17,7,0.5,44,19,6,4,0.43,4,2,0,0,0.5,0,0,0,0,0.0,20,10,2,1,0.5,14,7,2,1,0.5,32,19,7,1,0.59,109,4,10,0.04,59,43,15,1,10.02,120,57,0,11.4,77,33,2,155.57,73,11,19,30,0,2.53,10,0,18,0.9999999999999998,7,3,0.73,0.48,0.43,0.15,117,114,KB손해보험
614,308,2019-12-01,대한항공,0,1,86,109,64,11,6,0.59,39,21,6,3,0.54,1,0,0,0,0.0,0,0,0,0,0.0,30,19,3,2,0.63,10,7,0,0,0.7,29,17,2,1,0.59,110,9,26,0.08,62,48,14,0,9.6,111,62,1,12.4,81,31,7,89.8,49,13,17,12,2,2.6,11,0,35,0.9999999999999996,6,0,0.77,0.56,0.38,0.27,111,98,현대캐피탈
615,308,2019-12-01,현대캐피탈,1,0,63,103,44,13,7,0.43,34,14,3,3,0.41,1,0,1,0,0.0,0,0,0,0,0.0,23,10,3,2,0.43,16,7,1,1,0.44,29,13,5,1,0.45,99,8,16,0.08,44,30,14,0,6.25,96,38,1,7.6,83,39,9,186.22,54,11,10,22,1,2.3000000000000003,11,0,25,0.9999999999999998,7,1,0.68,0.4,0.47,0.2,98,111,대한항공
616,309,2019-12-03,KB손해보험,1,1,58,80,44,9,3,0.55,25,17,2,0,0.68,1,1,0,0,1.0,0,0,0,0,0.0,23,11,5,1,0.48,10,6,0,1,0.6,21,9,2,1,0.43,72,6,11,0.08,44,25,19,0,8.33,81,42,0,13.99,62,23,3,131.09,32,8,10,10,0,2.66,6,0,14,0.9999999999999996,5,2,0.57,0.52,0.37,0.25,77,71,OK저축은행
617,309,2019-12-03,OK저축은행,0,0,38,56,33,5,3,0.59,15,6,2,2,0.4,1,1,0,0,1.0,0,0,0,0,0.0,10,6,2,0,0.6,3,1,0,1,0.33,27,19,1,0,0.7,37,2,7,0.05,19,12,7,0,3.99,6,3,0,1.0,59,19,6,68.16,25,3,5,14,2,0.99,4,0,12,0.9999999999999998,2,4,0.63,0.5,0.32,0.12,71,77,KB손해보험
618,310,2019-12-04,삼성화재,1,0,63,114,48,15,8,0.42,48,20,9,4,0.42,1,1,0,0,1.0,0,0,0,0,0.0,32,7,4,3,0.22,11,7,1,1,0.64,22,13,1,0,0.59,93,5,13,0.05,58,48,10,0,10.28,131,54,3,11.0,73,24,3,72.06,65,10,16,26,1,2.05,7,0,25,0.9999999999999996,6,3,0.83,0.41,0.33,0.15,103,113,우리카드
619,310,2019-12-04,우리카드,0,1,82,130,62,9,10,0.48,46,16,5,5,0.35,2,2,0,0,1.0,0,0,0,0,0.0,39,24,2,2,0.62,10,4,0,1,0.4,33,16,2,2,0.48,108,5,15,0.05,68,54,14,0,10.8,139,63,2,12.6,89,35,5,249.24,68,15,19,25,2,3.05,14,0,29,1.0,6,6,0.79,0.45,0.39,0.22,113,103,삼성화재
620,311,2019-12-05,한국전력,1,0,35,75,28,14,8,0.37,23,4,5,1,0.17,1,1,0,0,1.0,0,0,0,0,0.0,22,10,3,2,0.45,10,5,2,1,0.5,19,8,4,4,0.42,51,2,4,0.04,42,27,15,0,9.0,69,23,0,7.66,60,22,6,114.99,29,5,9,11,0,1.66,2,0,12,0.9999999999999998,6,5,0.64,0.33,0.37,0.17,56,75,현대캐피탈
621,311,2019-12-05,현대캐피탈,0,1,60,72,40,5,5,0.56,18,4,0,1,0.22,1,1,0,0,1.0,0,0,0,0,0.0,20,12,1,2,0.6,15,11,1,1,0.73,18,12,3,1,0.67,71,6,14,0.08,34,31,3,0,10.34,68,35,0,11.66,51,29,2,192.86,46,14,9,17,0,4.66,12,0,19,0.9999999999999998,6,1,0.91,0.51,0.57,0.3,75,56,한국전력
622,312,2019-12-06,OK저축은행,1,0,49,99,42,13,11,0.42,40,12,5,5,0.3,0,0,0,0,0.0,0,0,0,0,0.0,26,17,3,2,0.65,9,2,2,3,0.22,24,11,3,1,0.46,73,3,17,0.04,36,23,13,0,6.17,96,42,1,10.5,85,28,3,107.43,37,4,6,19,2,1.08,4,0,31,0.9999999999999998,6,4,0.64,0.44,0.33,0.11,76,102,대한항공
623,312,2019-12-06,대한항공,0,1,69,83,53,4,7,0.64,40,22,4,4,0.55,1,0,0,0,0.0,0,0,0,0,0.0,18,14,0,3,0.78,10,7,0,0,0.7,14,10,0,0,0.71,101,3,15,0.03,52,38,14,0,9.75,87,50,2,12.58,60,20,3,116.0,54,13,15,17,2,3.25,10,0,26,1.0,6,0,0.73,0.57,0.33,0.24,102,76,OK저축은행
624,313,2019-12-07,KB손해보험,0,0,79,137,62,12,10,0.45,58,22,4,7,0.38,2,1,0,0,0.5,0,0,0,0,0.0,34,19,3,1,0.56,15,7,1,0,0.47,28,13,4,2,0.46,98,4,8,0.04,91,67,24,0,14.11,142,56,2,11.2,87,38,2,220.68,71,13,22,23,4,2.6500000000000004,12,0,24,0.9999999999999996,6,2,0.74,0.39,0.44,0.18,102,106,우리카드
625,313,2019-12-07,우리카드,1,1,76,138,63,13,7,0.46,43,16,6,2,0.37,4,3,1,0,0.75,0,0,0,0,0.0,29,13,3,3,0.45,19,11,0,1,0.58,43,20,3,1,0.47,102,3,13,0.03,76,63,13,0,12.93,144,64,1,12.8,92,51,4,206.2,66,10,15,27,1,2.05,9,0,22,1.0,6,6,0.83,0.44,0.55,0.15,106,102,KB손해보험
626,314,2019-12-08,삼성화재,1,1,52,68,38,2,6,0.56,30,15,0,4,0.5,2,1,0,0,0.5,0,0,0,0,0.0,18,10,1,2,0.56,8,6,0,0,0.75,10,6,1,0,0.6,67,2,13,0.03,33,26,7,0,8.67,68,37,0,12.33,48,27,3,191.27,49,12,15,15,1,3.99,11,0,20,0.9999999999999996,6,3,0.79,0.54,0.56,0.24,76,54,한국전력
627,314,2019-12-08,한국전력,0,0,32,70,27,12,7,0.39,30,10,8,3,0.33,2,1,0,0,0.5,0,0,0,0,0.0,12,3,2,2,0.25,8,4,0,1,0.5,18,9,2,1,0.5,47,3,5,0.06,32,24,8,0,8.01,54,23,0,7.67,50,12,2,63.83,31,2,8,15,4,0.66,3,0,16,1.0,5,5,0.75,0.43,0.24,0.06,54,76,삼성화재
628,315,2019-12-10,OK저축은행,1,1,80,116,62,12,13,0.53,40,19,6,8,0.48,5,4,0,0,0.8,0,0,0,0,0.0,39,19,4,3,0.49,6,3,1,2,0.5,26,17,1,0,0.65,110,6,18,0.05,55,50,5,0,11.73,125,61,1,14.73,87,34,3,161.71,67,12,22,20,1,2.87,12,0,33,1.0,6,4,0.91,0.49,0.39,0.18,115,105,우리카드
629,315,2019-12-10,우리카드,0,0,69,130,54,13,10,0.42,50,10,8,6,0.2,2,2,0,0,1.0,0,0,0,0,0.0,27,11,0,3,0.41,12,6,2,0,0.5,39,25,3,1,0.64,102,3,18,0.03,60,47,13,0,10.08,128,54,1,10.98,94,36,6,165.55,64,12,10,34,2,2.72,11,0,31,1.0,6,6,0.78,0.42,0.38,0.19,105,115,OK저축은행
630,316,2019-12-11,삼성화재,0,0,36,70,31,9,4,0.44,22,12,2,1,0.55,0,0,0,0,0.0,0,0,0,0,0.0,16,6,4,0,0.38,11,4,1,1,0.36,21,9,2,2,0.43,50,1,9,0.02,24,19,4,1,6.32,70,27,1,8.99,54,27,1,140.82999999999998,29,4,4,19,1,1.33,2,0,16,0.9999999999999996,4,3,0.79,0.39,0.5,0.14,57,77,현대캐피탈
631,316,2019-12-11,현대캐피탈,1,1,59,67,47,4,2,0.7,27,16,3,1,0.59,0,0,0,0,0.0,0,0,0,0,0.0,14,9,0,1,0.64,11,10,0,0,0.91,15,12,1,0,0.8,72,2,14,0.03,36,27,9,0,8.98,67,44,1,14.66,47,24,1,236.1,47,10,14,13,2,3.3200000000000003,6,0,19,1.0,6,1,0.75,0.66,0.51,0.21,77,57,삼성화재
