,결과,홈_어웨이,팀코드,상대팀코드,홈어웨이_공격성공률_평균,홈어웨이_서브성공률_평균,홈어웨이_디그성공률_평균,홈어웨이_세트성공률_평균,홈어웨이_리시브정확도_평균,홈어웨이_블로킹성공률_평균,홈어웨이_범실_평균,범실_평균_다섯,디그_평균_다섯,리시브_평균_다섯,공격종합_평균_다섯,블로킹_평균_다섯,세트_평균_다섯,서브_평균_다섯,범실_상대전적,디그_상대전적,리시브_상대전적,공격종합_상대전적,블로킹_상대전적,세트_상대전적,서브_상대전적
976,1,1,6,1,0.5449999999999999,0.055,0.685,0.53,0.42000000000000004,0.16499999999999998,15.5,17.8,0.7240000000000001,0.426,0.582,0.176,0.5599999999999999,0.046,17.666666666666668,0.7566666666666667,0.48,0.54,0.1133333333333333,0.5266666666666667,0.0766666666666666
977,0,0,1,6,0.5549999999999999,0.055,0.73,0.51,0.38,0.3,22.5,20.8,0.69,0.424,0.532,0.244,0.492,0.046,18.0,0.7566666666666665,0.4833333333333333,0.5233333333333333,0.1333333333333333,0.4733333333333333,0.0633333333333333
978,0,0,4,5,0.545,0.08,0.6699999999999999,0.515,0.365,0.26,24.5,25.4,0.6880000000000001,0.386,0.542,0.188,0.512,0.052,26.0,0.7166666666666667,0.54,0.5,0.1466666666666666,0.4833333333333333,0.0666666666666666
979,1,1,5,4,0.425,0.060000000000000005,0.815,0.4,0.425,0.18,27.0,24.6,0.766,0.41,0.492,0.204,0.438,0.06,21.33333333333333,0.6999999999999998,0.4666666666666666,0.4733333333333333,0.2033333333333333,0.45,0.0233333333333333
980,1,0,0,3,0.47000000000000003,0.12,0.73,0.445,0.35,0.14500000000000002,22.0,20.8,0.776,0.378,0.544,0.1379999999999999,0.514,0.092,21.666666666666668,0.7333333333333334,0.5266666666666667,0.5233333333333333,0.1999999999999999,0.4966666666666666,0.0733333333333333
981,0,1,3,0,0.5,0.07,0.645,0.45999999999999996,0.38,0.11,24.0,24.2,0.6859999999999999,0.36,0.492,0.126,0.458,0.06,25.666666666666668,0.7666666666666666,0.4933333333333333,0.53,0.2066666666666666,0.4966666666666666,0.0266666666666666
982,1,0,2,1,0.43,0.08499999999999999,0.78,0.425,0.375,0.08,25.0,23.0,0.7540000000000001,0.41,0.4859999999999999,0.1699999999999999,0.462,0.072,24.666666666666668,0.65,0.48,0.5566666666666666,0.1833333333333333,0.5066666666666667,0.0666666666666666
983,0,1,1,2,0.515,0.02,0.6699999999999999,0.475,0.46499999999999997,0.145,21.0,21.6,0.718,0.426,0.518,0.196,0.478,0.032,23.666666666666668,0.7466666666666667,0.5566666666666666,0.5366666666666667,0.2566666666666666,0.51,0.0466666666666666
984,0,0,4,6,0.505,0.07,0.665,0.47,0.37,0.195,24.5,27.2,0.696,0.39,0.522,0.182,0.496,0.06,18.666666666666668,0.6633333333333334,0.4966666666666666,0.5,0.17,0.44,0.0666666666666666
985,1,1,6,4,0.575,0.060000000000000005,0.71,0.565,0.51,0.155,16.5,19.8,0.724,0.462,0.5720000000000001,0.1599999999999999,0.5519999999999999,0.05,17.666666666666668,0.7333333333333333,0.4466666666666666,0.5233333333333333,0.2199999999999999,0.5066666666666667,0.0766666666666666
986,1,1,3,5,0.495,0.055,0.6299999999999999,0.46499999999999997,0.325,0.16499999999999998,22.5,23.2,0.682,0.344,0.492,0.142,0.4599999999999999,0.056,30.666666666666668,0.7966666666666667,0.51,0.5433333333333333,0.15,0.4933333333333333,0.0366666666666666
987,0,0,5,3,0.5549999999999999,0.06,0.72,0.49,0.4,0.235,23.0,26.0,0.7779999999999999,0.422,0.496,0.208,0.4519999999999999,0.052,21.33333333333333,0.6999999999999998,0.4666666666666666,0.4733333333333333,0.2033333333333333,0.45,0.0233333333333333
988,1,1,0,1,0.5700000000000001,0.095,0.855,0.5349999999999999,0.38,0.10500000000000001,20.5,19.2,0.754,0.388,0.554,0.152,0.53,0.078,25.0,0.7666666666666666,0.5266666666666667,0.5466666666666667,0.18,0.5233333333333333,0.0699999999999999
989,0,0,1,0,0.49,0.02,0.78,0.44,0.42000000000000004,0.16,25.0,24.2,0.772,0.422,0.492,0.2159999999999999,0.45,0.042,16.666666666666668,0.6633333333333334,0.4933333333333333,0.5833333333333334,0.1766666666666666,0.5366666666666666,0.0333333333333333
990,0,1,2,6,0.515,0.07500000000000001,0.71,0.48,0.45999999999999996,0.245,24.0,24.8,0.7659999999999999,0.438,0.462,0.174,0.44,0.072,24.666666666666668,0.65,0.48,0.5566666666666666,0.1833333333333333,0.5066666666666667,0.0666666666666666
991,1,0,6,2,0.61,0.035,0.7250000000000001,0.585,0.455,0.155,21.5,18.8,0.7220000000000001,0.45,0.5499999999999999,0.184,0.53,0.048,13.333333333333334,0.7633333333333333,0.43,0.53,0.21,0.5133333333333333,0.0833333333333333
992,1,1,4,3,0.53,0.035,0.715,0.51,0.39,0.12000000000000001,30.5,25.2,0.7,0.3899999999999999,0.516,0.166,0.49,0.058,18.666666666666668,0.6633333333333334,0.4966666666666666,0.5,0.17,0.44,0.0666666666666666
993,0,0,3,4,0.495,0.045000000000000005,0.7150000000000001,0.46499999999999997,0.345,0.16999999999999998,24.5,21.4,0.678,0.354,0.488,0.132,0.4559999999999999,0.052,29.666666666666668,0.7633333333333333,0.5399999999999999,0.54,0.1533333333333333,0.4899999999999999,0.0233333333333333
994,1,0,0,6,0.485,0.09,0.735,0.45999999999999996,0.425,0.16999999999999998,19.5,19.0,0.768,0.356,0.5279999999999999,0.164,0.508,0.0799999999999999,25.33333333333333,0.6733333333333332,0.5833333333333334,0.57,0.17,0.5466666666666667,0.0766666666666666
995,0,1,6,0,0.535,0.05,0.78,0.51,0.47500000000000003,0.2,20.0,17.2,0.724,0.452,0.5959999999999999,0.178,0.572,0.044,17.666666666666668,0.7333333333333333,0.4466666666666666,0.5233333333333333,0.2199999999999999,0.5066666666666667,0.0766666666666666
996,0,0,2,5,0.4,0.075,0.81,0.385,0.47,0.18,25.0,24.2,0.758,0.45,0.4640000000000001,0.182,0.4439999999999999,0.074,25.0,0.7000000000000001,0.4466666666666667,0.54,0.1733333333333333,0.4866666666666666,0.0466666666666666
997,1,1,5,2,0.475,0.035,0.815,0.44499999999999995,0.435,0.155,28.0,26.0,0.774,0.4279999999999999,0.4879999999999999,0.182,0.4479999999999999,0.0559999999999999,20.33333333333333,0.7166666666666667,0.4833333333333333,0.4866666666666666,0.1899999999999999,0.4766666666666667,0.0433333333333333
