,팀명,이름,포지션,결과,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실,디그_성공률,세트_성공률,리시브_정확률,블로킹_성공률,시즌
118,삼성화재,류윤식,L,0,5.117647058823529,6.470588235294118,2.8823529411764706,0.47058823529411764,0.35294117647058826,39.31235294117647,6.391764705882353,3.235294117647059,1.411764705882353,0.35294117647058826,0.11764705882352941,40.96,7.869999999999999,1.0,0.29411764705882354,0.11764705882352941,0.058823529411764705,17.647058823529413,40.0,0.058823529411764705,0.058823529411764705,0.0,0.0,5.882352941176471,5.882352941176471,0.4117647058823529,0.058823529411764705,0.0,0.058823529411764705,2.9411764705882355,1.1811764705882353,0.0,0.0,0.0,0.0,0.0,0.0,1.7647058823529411,1.0588235294117647,0.0,0.11764705882352941,42.54941176470589,13.121176470588235,15.235294117647058,0.7058823529411765,1.7647058823529411,0.16941176470588235,16.93764705882353,7.823529411764706,5.9411764705882355,1.8823529411764706,0.0,1.413529411764706,16.078235294117647,3.823529411764706,0.9411764705882353,0.058823529411764705,0.24058823529411763,3.7623529411764705,29.352941176470587,16.764705882352942,1.5294117647058822,27.623529411764707,35.41117647058824,6.176470588235294,1.5294117647058822,1.0588235294117647,2.823529411764706,0.11764705882352941,0.34117647058823536,11.434705882352942,0.9411764705882353,0.0,2.2941176470588234,76.70433732933733,26.465773809523807,54.44100744240266,23.327141608391607,17-18
119,삼성화재,류윤식,L,1,5.7368421052631575,8.0,3.6315789473684212,0.8947368421052632,0.7894736842105263,46.27842105263158,8.668421052631578,3.8421052631578947,1.4210526315789473,0.42105263157894735,0.42105263157894735,38.54,9.533684210526316,1.4210526315789473,1.0,0.10526315789473684,0.05263157894736842,53.33315789473684,48.55263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.5436842105263158,0.0,0.0,0.0,0.0,0.0,0.0,2.5789473684210527,1.2105263157894737,0.3684210526315789,0.3157894736842105,37.98263157894737,25.016315789473683,16.894736842105264,0.8947368421052632,1.736842105263158,0.1936842105263158,17.781578947368423,7.368421052631579,5.578947368421052,1.6842105263157894,0.10526315789473684,1.4236842105263159,15.747894736842104,2.736842105263158,0.8421052631578947,0.15789473684210525,0.22263157894736843,2.9499999999999997,33.05263157894737,18.57894736842105,1.631578947368421,19.03842105263158,47.11421052631579,6.947368421052632,1.2105263157894737,1.1578947368421053,3.473684210526316,0.10526315789473684,0.29947368421052634,13.844210526315791,1.105263157894737,0.0,2.8947368421052633,77.4815973500184,25.661375661375658,54.95826263437749,16.520146520146522,17-18
120,삼성화재,박상하,C,0,6.5,8.5,4.3125,0.5,0.3125,48.835,8.005625,0.8125,0.3125,0.0,0.0625,28.125,1.86125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6875,4.0,0.5,0.25,49.64375,52.980625,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.125,0.4375,0.025,10.84875,2.25,1.75,0.5,0.0,0.413125,4.389375,1.3125,0.5,0.0625,0.11750000000000001,1.194375,0.9375,0.4375,0.125,0.075,1.113125,11.5,2.0625,2.8125,5.125,0.375,0.46625,20.8275,2.0,0.0,1.1875,82.26190476190477,44.871794871794876,33.333333333333336,17.793838106338107,17-18
121,삼성화재,박상하,C,1,6.777777777777778,7.444444444444445,3.9444444444444446,0.5555555555555556,0.2222222222222222,53.705555555555556,8.06,1.1666666666666667,0.6666666666666666,0.1111111111111111,0.0,47.22222222222222,2.8877777777777776,0.05555555555555555,0.0,0.0,0.0,0.0,0.9261111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.222222222222222,3.2777777777777777,0.4444444444444444,0.2222222222222222,52.32833333333333,51.538333333333334,0.0,0.0,0.0,0.0,0.0,0.0,9.444444444444445,0.05555555555555555,0.3888888888888889,0.013888888888888888,10.145555555555555,2.1666666666666665,1.7777777777777777,0.3888888888888889,0.0,0.4488888888888889,4.692777777777778,1.6666666666666667,0.5,0.1111111111111111,0.13777777777777778,1.8327777777777778,0.6666666666666666,0.2777777777777778,0.1111111111111111,2.8255555555555554,1.0666666666666667,11.277777777777779,2.7777777777777777,2.7777777777777777,3.5,0.2777777777777778,0.695,21.18,1.7222222222222223,0.0,1.0,81.27450980392157,29.6875,33.33333333333333,27.413543700308406,17-18
122,삼성화재,박철우,R,0,18.0,29.88235294117647,15.882352941176471,4.588235294117647,1.7058823529411764,53.11882352941176,29.16,12.352941176470589,5.882352941176471,1.588235294117647,0.7647058823529411,48.984117647058824,27.834117647058825,1.2352941176470589,0.7647058823529411,0.058823529411764705,0.0,44.60823529411765,45.686470588235295,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.0,11.764705882352942,17.647058823529413,13.176470588235293,7.470588235294118,2.3529411764705883,0.8235294117647058,59.03176470588235,42.69588235294117,0.0,0.0,0.0,0.0,0.0,0.0,2.9411764705882355,1.6470588235294117,0.5294117647058824,0.11764705882352941,56.27470588235294,25.364117647058823,15.941176470588236,0.7058823529411765,3.823529411764706,0.15882352941176472,17.29705882352941,8.117647058823529,5.823529411764706,2.2941176470588234,0.0,1.3858823529411763,15.93941176470588,3.1176470588235294,0.8235294117647058,0.17647058823529413,0.19764705882352943,2.986470588235294,0.7647058823529411,0.17647058823529413,0.5294117647058824,0.0,1.0470588235294118,8.352941176470589,1.411764705882353,1.6470588235294117,4.0588235294117645,0.11764705882352941,0.33941176470588236,15.778235294117648,1.1764705882352942,0.0,5.823529411764706,72.76938747526982,23.506944444444443,18.75,17.85466167819109,17-18
123,삼성화재,박철우,R,1,16.75,25.25,14.2,2.6,2.0,56.602999999999994,26.809499999999996,9.95,5.45,1.0,0.65,54.1885,24.5955,1.5,0.9,0.25,0.0,41.8335,41.3745,0.4,0.25,0.1,0.05,20.0,30.0,10.9,6.35,1.1,1.0,58.160000000000004,41.4015,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.25,0.15,0.3,43.5415,19.812,16.25,1.0,3.1,0.2655,17.6175,7.35,5.45,1.9,0.0,1.3855,15.801499999999999,3.1,0.95,0.05,0.246,3.3015,0.2,0.05,0.1,0.0125,0.251,8.25,1.55,1.7,3.6,0.1,0.369,15.688999999999998,1.25,0.0,5.25,74.3742784992785,36.10275689223058,25.0,18.353872649538282,17-18
124,삼성화재,부용찬,Li,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.133333333333333,2.8666666666666667,0.0,1.9306666666666668,22.192666666666664,3.3333333333333335,0.8,0.06666666666666667,0.19333333333333333,3.1053333333333333,26.466666666666665,13.933333333333334,1.5333333333333334,27.183333333333334,32.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,77.3383555442379,24.807692307692307,47.95698080084269,0.0,17-18
125,삼성화재,부용찬,Li,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.68421052631579,8.473684210526315,2.210526315789474,0.0,2.1894736842105265,24.281578947368423,3.473684210526316,1.0526315789473684,0.15789473684210525,0.26473684210526316,3.6247368421052633,21.63157894736842,11.052631578947368,1.631578947368421,14.764210526315788,31.091578947368422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,80.97117794486216,35.714285714285715,51.345613895385064,0.0,17-18
126,삼성화재,손태훈,C,0,7.0,9.5,5.0,0.5,0.0,59.519999999999996,10.85,1.0,1.0,0.0,0.0,100.0,2.705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,4.0,0.5,0.0,55.3,57.355,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.5,0.0,12.16,2.0,1.5,0.5,0.0,0.375,4.35,0.5,0.5,0.0,0.125,0.51,0.5,0.0,0.0,0.0,0.615,10.0,2.0,1.5,6.0,0.0,0.625,25.16,0.0,0.0,0.5,75.0,100.0,0.0,22.916666666666664,17-18
127,삼성화재,손태훈,C,1,6.0,4.0,3.0,0.0,0.0,75.0,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,75.0,44.44,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,0.67,17.81,3.0,3.0,0.0,0.0,1.0,10.34,1.0,0.0,1.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.33,8.82,1.0,0.0,1.0,100.0,0.0,0.0,33.33333333333333,17-18
128,삼성화재,이민욱,S,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.555555555555555,0.0,0.1111111111111111,0.0,4.977777777777778,0.6666666666666666,0.1111111111111111,0.5555555555555556,0.0,0.03666666666666667,1.6111111111111112,2.888888888888889,1.2222222222222223,0.0,0.31444444444444447,2.9566666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.6466666666666667,0.0,0.0,0.1111111111111111,10.0,34.88095238095238,0.0,0.0,17-18
129,삼성화재,이민욱,S,1,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.444444444444445,0.1111111111111111,0.7777777777777778,0.03666666666666667,5.961111111111111,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.0,0.1111111111111111,1.4344444444444444,0.7777777777777778,0.4444444444444444,0.0,0.10333333333333333,0.7955555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,50.0,43.75,0.0,0.0,17-18
130,삼성화재,이현우,Li,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.5,1.5,0.0,1.125,13.045,2.5,0.5,0.0,0.125,2.52,23.0,10.5,2.0,39.739999999999995,27.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,25.0,45.8041958041958,0.0,17-18
